"Scan/Ion","p106555_Total","p106556_Total","p106557_Total","p106558_Total","t106555_Total","t106556_Total","t106557_Total","t106558_Total","p106555_%Total","p106556_%Total","p106557_%Total","p106558_%Total","t106555_%Total","t106556_%Total","t106557_%Total","t106558_%Total"
"144.0655, HexNAc - C2H4O2","13511","13928","13749","13638","10721","11917","11354","11785","94.36373795222796","96.76253994720022","95.4990623046468","94.87304347826087","74.09634390766466","82.43065642941136","78.61791995568481","81.22544627472604"
"168.0655, HexNAc - 2H2O","13975","14173","14061","14059","12373","13110","12776","13078","97.60441402430507","98.4646380436293","97.66618045426131","97.80173913043478","85.51385721197042","90.68271425606972","88.4642016341227","90.13715624784616"
"186.0761, HexNAc - H2O","13849","14120","13993","13963","11831","12740","12308","12693","96.72440284956","98.09642906766707","97.19385983190942","97.13391304347826","81.76791761697422","88.12340042885799","85.22365323362415","87.48363084981735"
"204.0867, HexNAc","14022","14187","14091","14105","12643","13331","12970","13238","97.93267216091634","98.56190079199666","97.87455719941654","98.12173913043478","87.37991568180247","92.2113854879989","89.80750588561142","91.23992004962437"
"85.0284, Hex - C2H6O3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97.0284, Hex - CH6O3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127.0390, Hex - 2H2O","10936","12141","11739","11509","6557","8695","7594","8286","76.37938259533455","84.34764485202167","81.53782037924567","80.06260869565217","45.317575506254755","60.14387493947568","52.582744772192214","57.10938038458887"
"145.0495, Hex - H2O","8388","9947","9502","9356","3277","5666","4344","5170","58.58360106160079","69.10518271502015","65.9998610821699","65.08521739130435","22.64842076162831","39.19208687832884","30.07893643539676","35.6330553449583"
"163.0601, Hex","7033","8409","8261","8028","2077","3674","2817","3369","49.11998882525492","58.42017507294705","57.380009724248104","55.84695652173913","14.354827562374734","25.413294597772705","19.505608641462402","23.220070301192365"
"Sialic: 274.0921, NeuAc-H2O","13780","14055","13879","13908","11850","12775","12272","12676","96.24249196815198","97.6448520216757","96.4020282003195","96.75130434782608","81.89923284262906","88.36549768278343","84.97438027973965","87.36646219587843"
"Sialic: 292.1027, NeuAc","13456","13862","13613","13615","10535","11817","11129","11578","93.97960609023606","96.30401556203974","94.55442105994304","94.71304347826087","72.81083696178035","81.7389499896244","77.05996399390666","79.79874560617549"
"Sialic: 316.103, NeuAc[Ac] - H2O","20","51","13","54","55","77","61","84","0.13968431345159937","0.35431429762401","0.09029658956727095","0.3756521739130435","0.3801230216324556","0.532613958635955","0.42237917185985324","0.5789509959335585"
"Sialic: 334.113, NeuAc[Ac]","8","15","2","13","62","83","67","77","0.055873725380639755","0.10421008753647354","0.013891783010349379","0.09043478260869565","0.4285023152947681","0.5741163450231721","0.46392466417393713","0.530705079605762"
"Sialic: 290.0870, NeuGc - H2O","262","211","217","221","32","28","30","30","1.829864506215952","1.4658885646797277","1.5072584566229075","1.537391304347826","0.2211624853134287","0.19367780314034724","0.2077274615704196","0.20676821283341376"
"Sialic: 308.0976, NeuGc","119","87","100","91","45","29","33","32","0.8311216650370163","0.6044185077115465","0.694589150517469","0.6330434782608696","0.3110097449720091","0.2005948675382168","0.2285002077274616","0.22055276035564134"
"Sialic: 332.098, NeuGc[Ac] - H2O","8","13","6","15","38","61","47","40","0.055873725380639755","0.09031540919827706","0.04167534903104814","0.10434782608695652","0.2626304513096966","0.42194092827004215","0.3254396897936574","0.27569095044455166"
"Sialic: 350.1081, NeuGc[Ac]","5","6","1","4","31","33","34","28","0.03492107836289984","0.041684035014589414","0.0069458915051746895","0.027826086956521737","0.21425115764738406","0.22826312512969496","0.23542445644647556","0.19298366531118616"
"M6P: 243.0264, Man-P","112","82","107","98","29","31","39","33","0.7822321553289565","0.5696818118660553","0.7432103910536917","0.6817391304347826","0.20042850231529477","0.21442899633395585","0.2700457000415455","0.22744503411675512"
"M6P: 405.0798, Man2-P","34","24","32","31","5","3","7","6","0.23746333286771898","0.16673614005835766","0.22226852816559006","0.21565217391304345","0.03455663833022324","0.020751193193608634","0.04846974103309791","0.041353642566682745"
"Oligo: 325.1129, Hex2","797","992","1010","1025","378","525","487","544","5.566419891046236","6.891760455745449","7.0153504202264365","7.130434782608695","2.6124818577648767","3.631458808881511","3.372109126159812","3.7493969260459026"
"Oligo: 366.1395, HexNAc-Hex","13932","14148","14032","14011","11367","12433","11874","12217","97.30409275038413","98.29095456440183","97.46474960061123","97.46782608695652","78.5610615799295","85.99986165871204","82.21852928957209","84.20290853952719"
"Oligo: 407.1660, HexNAc2","922","1543","1201","1500","634","1132","804","981","6.439446850118731","10.719744337918577","8.342015697714801","10.434782608695652","4.381781740272307","7.830116898388324","5.567095970087245","6.76132055965263"
"Oligo: 454.1555, Hex-NeuAc","8579","10314","9423","9777","4593","7126","5588","6421","59.91758625506356","71.6548561900792","65.45113565326109","68.01391304347825","31.743727970143066","49.291000899218375","38.69270184185016","44.255289820111656"
"Oligo: 470.1503, Hex-NeuGc","39","30","38","38","292","231","264","287","0.27238441123061885","0.20842017507294708","0.2639438771966382","0.26434782608695656","2.018107678485037","1.5978418759078648","1.8280016618196928","1.978082569439658"
"Oligo: 495.1821, HexNAc-NeuAc","2152","3703","2568","3283","2841","4555","3451","3982","15.030032127392094","25.725996943170763","17.8370493852886","22.838260869565215","19.635081899232844","31.50722833229577","23.895582329317268","27.445034116755117"
"Oligo: 511.1769, HexNAc-NeuGc","294","144","202","157","49","49","57","56","2.053359407738511","1.0004168403501459","1.4030700840452872","1.0921739130434782","0.3386550556361877","0.3389361554956077","0.39468217698379726","0.3859673306223723"
"Oligo: 528.1923, HexNAc-Hex2","11990","12972","12630","12330","6027","8485","7274","7974","83.74074591423383","90.12088370154231","87.72660971035633","85.77391304347826","41.654571843251084","58.69129141592309","50.36698518210774","54.958990971121366"
"Oligo: 537.1927, HexNAc-NeuAc[Ac]","38","26","34","24","115","101","115","129","0.26540019555803884","0.18063081839655412","0.2361603111759394","0.16695652173913045","0.7948026815951346","0.698623504184824","0.7962886026866085","0.8891033151836791"
