PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73779_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73797_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.Quantity,[2] ID73779_01_MA10140C_06010_100422.htrms.PG.Quantity,[3] ID73797_01_MA10140C_06010_100422.htrms.PG.Quantity
O75396,SEC22B,Vesicle-trafficking protein SEC22b,O75396,SC22B_HUMAN,1,1,1,15767.34375,19820.341796875,22420.1640625
O75531,BANF1,Barrier-to-autointegration factor,O75531,BAF_HUMAN,1,1,1,11634.87890625,13455.0947265625,9587.6103515625
O75608,LYPLA1,Acyl-protein thioesterase 1,O75608,LYPA1_HUMAN,1,1,1,33332.1328125,42977.7734375,36695.08984375
O75636,FCN3,Ficolin-3,O75636,FCN3_HUMAN,2,2,2,24336.09765625,29819.6171875,19121.83203125
O75663,TIPRL,TIP41-like protein,O75663,TIPRL_HUMAN,1,1,1,1025.777587890625,2901.094970703125,2290.395751953125
O75695,RP2,Protein XRP2,O75695,XRP2_HUMAN,1,1,1,5453.56640625,6660.837890625,9776.654296875
O75822,EIF3J,Eukaryotic translation initiation factor 3 subunit J,O75822,EIF3J_HUMAN,2,1,2,12761.4228515625,12350.8525390625,16269.1376953125
O75832,PSMD10,26S proteasome non-ATPase regulatory subunit 10,O75832,PSD10_HUMAN,11,11,11,39385.59375,44910.71484375,42900.05078125
O75874,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,O75874,IDHC_HUMAN,5,5,5,22525.880859375,14175.15625,9472.423828125
O75882,ATRN,Attractin,O75882,ATRN_HUMAN,10,10,10,51318.04296875,57856.6953125,49384.171875
O75955,FLOT1,Flotillin-1,O75955,FLOT1_HUMAN,17,17,17,75871.2578125,87523.46875,99041.5703125
O76003,GLRX3,Glutaredoxin-3,O76003,GLRX3_HUMAN,10,10,10,97000.21875,96463.984375,104773.453125
O76075,DFFB,DNA fragmentation factor subunit beta,O76075,DFFB_HUMAN,2,2,2,57389.1796875,63313.4140625,63548.7734375
O94903,PLPBP,Pyridoxal phosphate homeostasis protein,O94903,PLPHP_HUMAN,2,2,1,23265.70703125,13462.72265625,15701.08984375
O94919,ENDOD1,Endonuclease domain-containing 1 protein,O94919,ENDD1_HUMAN,3,3,3,22232.89453125,30893.216796875,21560.76953125
O95197,RTN3,Reticulon-3,O95197,RTN3_HUMAN,1,1,1,42766.7265625,45583.640625,43196.36328125
O95336,PGLS,6-phosphogluconolactonase,O95336,6PGL_HUMAN,9,9,9,97357.140625,107136.953125,113266.4609375
O95352,ATG7,Ubiquitin-like modifier-activating enzyme ATG7,O95352,ATG7_HUMAN,1,1,1,20273.66015625,7704.5361328125,17019.302734375
O95373,IPO7,Importin-7,O95373,IPO7_HUMAN,7,7,7,18671.337890625,18401.8125,16013.6015625
O95445,APOM,Apolipoprotein M,O95445,APOM_HUMAN,7,7,7,109328.7890625,143229.859375,110757.296875
O95477,ABCA1,Phospholipid-transporting ATPase ABCA1,O95477,ABCA1_HUMAN,2,2,2,62747.3828125,58853.484375,36761.4765625
O95747,OXSR1,Serine/threonine-protein kinase OSR1,O95747,OXSR1_HUMAN,6,6,6,63542.83984375,72300.7109375,75982.46875
O95782,AP2A1,AP-2 complex subunit alpha-1,O95782,AP2A1_HUMAN,4,5,4,33186.4609375,31464.796875,15732.8720703125
O95810,CAVIN2,Caveolae-associated protein 2,O95810,CAVN2_HUMAN,4,4,4,7879.07763671875,13823.232421875,16712.51953125
P00001,,concatemer,P00001,variant,58,59,67,1450200.5,1295295.125,1173569.25
P00167,CYB5A,Cytochrome b5,P00167,CYB5_HUMAN,6,6,6,62661.6015625,68952.515625,72617.5546875
P00338,LDHA,L-lactate dehydrogenase A chain,P00338,LDHA_HUMAN,10,10,10,150058.609375,156997.53125,147516.140625
P00352,ALDH1A1,Aldehyde dehydrogenase 1A1,P00352,AL1A1_HUMAN,32,31,32,262214.34375,261029.546875,266923.125
P00387,CYB5R3,NADH-cytochrome b5 reductase 3,P00387,NB5R3_HUMAN,4,4,4,33447.73046875,34432.48828125,26848.44921875
P00390,GSR,"Glutathione reductase, mitochondrial",P00390,GSHR_HUMAN,13,13,13,67893.2578125,63933.9921875,56858.8359375
P00441,SOD1,Superoxide dismutase [Cu-Zn],P00441,SODC_HUMAN,11,11,11,555934.375,572999.25,623351.375
P00450,CP,Ceruloplasmin,P00450,CERU_HUMAN,64,65,65,1264054,1157305.125,1150273
P00488,F13A1,Coagulation factor XIII A chain,P00488,F13A_HUMAN,14,14,14,25739.677734375,31130.103515625,37101.2734375
P00491,PNP,Purine nucleoside phosphorylase,P00491,PNPH_HUMAN,20,20,20,421449.625,457684.75,454714.4375
