PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.Quantity,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.Quantity,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.Quantity
A0A075B6H7,A0A075B6H7,IGKV3-7,Probable non-functional immunoglobulin kappa variable 3-7,KV37_HUMAN,2,2,2,57914.546875,27775.099609375,34179.13671875
A0A075B6H8,A0A075B6H8,IGKV1D-42,Probable non-functional immunoglobulin kappa variable 1D-42,KVD42_HUMAN,1,1,1,511692.75,310751.15625,223376.109375
A0A075B6H9,A0A075B6H9,IGLV4-69,Immunoglobulin lambda variable 4-69,LV469_HUMAN,8,8,6,109133.6953125,124816.2265625,41125.984375
A0A075B6I0,A0A075B6I0,IGLV8-61,Immunoglobulin lambda variable 8-61,LV861_HUMAN,4,5,5,160381.546875,104123.5625,237490.453125
A0A075B6I1,A0A075B6I1,IGLV4-60,Immunoglobulin lambda variable 4-60,LV460_HUMAN,0,4,4,NaN,14019.564453125,16615.888671875
A0A075B6I4,A0A075B6I4,IGLV10-54,Immunoglobulin lambda variable 10-54,LVX54_HUMAN,2,2,0,97763.84375,148438.625,NaN
A0A075B6J1,A0A075B6J1,IGLV5-37,Immunoglobulin lambda variable 5-37,LV537_HUMAN,2,2,2,6823.5361328125,30906.4296875,18767.03125
A0A075B6J9,A0A075B6J9,IGLV2-18,Immunoglobulin lambda variable 2-18,LV218_HUMAN,4,4,4,64896.76171875,55890.85546875,30753.49609375
A0A075B6K2,A0A075B6K2,IGLV3-12,Immunoglobulin lambda variable 3-12,LV312_HUMAN,2,2,2,218794.375,11928.310546875,76491.6015625
A0A075B6K4,A0A075B6K4,IGLV3-10,Immunoglobulin lambda variable 3-10,LV310_HUMAN,4,4,4,107301.0234375,108952.515625,111137.3125
A0A075B6K5,A0A075B6K5,IGLV3-9,Immunoglobulin lambda variable 3-9,LV39_HUMAN,11,9,9,773116.25,826671.8125,551969
A0A075B6K6,A0A075B6K6,IGLV4-3,Immunoglobulin lambda variable 4-3,LV403_HUMAN,1,0,0,6834.54833984375,NaN,NaN
A0A075B6P5;P01615,A0A075B6P5;P01615,IGKV2-28;IGKV2D-28,Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,KV228_HUMAN;KVD28_HUMAN,11,11,10,804920.4375,605206.5625,710617.125
A0A075B6Q5,A0A075B6Q5,IGHV3-64,Immunoglobulin heavy variable 3-64,HV364_HUMAN,4,4,4,145675.484375,136031.859375,103753.0859375
A0A075B6R2,A0A075B6R2,IGHV4-4,Immunoglobulin heavy variable 4-4,HV404_HUMAN,1,2,3,4891.22314453125,21608.234375,15859.474609375
A0A075B6S5,A0A075B6S5,IGKV1-27,Immunoglobulin kappa variable 1-27,KV127_HUMAN,23,23,23,5539561.5,5386682.5,3650180.25
A0A075B6S6;P06310,A0A075B6S6;P06310,IGKV2D-30;IGKV2-30,Immunoglobulin kappa variable 2D-30;Immunoglobulin kappa variable 2-30,KVD30_HUMAN;KV230_HUMAN,9,9,8,451438.46875,385806.65625,262507.3125
A0A075B6S9;P0DSN7,A0A075B6S9;P0DSN7,IGKV1-37;IGKV1D-37,Probable non-functional immunoglobulinn kappa variable 1-37;Probable non-functional immunoglobulinn kappa variable 1D-37,KV137_HUMAN;KVD37_HUMAN,4,4,4,1098193.125,897996.25,468021
A0A087WSX0,A0A087WSX0,IGLV5-45,Immunoglobulin lambda variable 5-45,LV545_HUMAN,1,1,1,81906.359375,69581.90625,96614.5625
A0A087WSY6,A0A087WSY6,IGKV3D-15,Immunoglobulin kappa variable 3D-15,KVD15_HUMAN,2,2,2,270625.1875,179308.53125,302603.28125
A0A087WW87;P01614,A0A087WW87;P01614,IGKV2-40;IGKV2D-40,Immunoglobulin kappa variable 2-40;Immunoglobulin kappa variable 2D-40,KV240_HUMAN;KVD40_HUMAN,2,2,2,144805.890625,170474.375,203284.328125
A0A0A0MRZ8;P04433,A0A0A0MRZ8;P04433,IGKV3D-11;IGKV3-11,Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11,KVD11_HUMAN;KV311_HUMAN,7,7,7,1106037.75,1164694.5,1093885.75
A0A0A0MS14,A0A0A0MS14,IGHV1-45,Immunoglobulin heavy variable 1-45,HV145_HUMAN,1,1,1,75102.078125,138172.640625,77720.8984375
A0A0A0MS15,A0A0A0MS15,IGHV3-49,Immunoglobulin heavy variable 3-49,HV349_HUMAN,5,4,4,317079.78125,219099.125,206549.609375
A0A0A0MT36,A0A0A0MT36,IGKV6D-21,Immunoglobulin kappa variable 6D-21,KVD21_HUMAN,5,5,5,347148.90625,254307.40625,199717.984375
A0A0A0MT89,A0A0A0MT89,IGKJ1,Immunoglobulin kappa joining 1,KJ01_HUMAN,4,4,4,127095.40625,120826.453125,83317.25
A0A0B4J1U3,A0A0B4J1U3,IGLV1-36,Immunoglobulin lambda variable 1-36,LV136_HUMAN,2,2,2,64052.68359375,65974.84375,130703.9296875
A0A0B4J1U7,A0A0B4J1U7,IGHV6-1,Immunoglobulin heavy variable 6-1,HV601_HUMAN,7,7,7,343346.21875,296944.46875,222987.203125
A0A0B4J1V0,A0A0B4J1V0,IGHV3-15,Immunoglobulin heavy variable 3-15,HV315_HUMAN,22,22,22,935531.5625,1134563,797532.4375
A0A0B4J1V1,A0A0B4J1V1,IGHV3-21,Immunoglobulin heavy variable 3-21,HV321_HUMAN,1,1,1,51364.41015625,24857.435546875,22160.111328125
A0A0B4J1V2,A0A0B4J1V2,IGHV2-26,Immunoglobulin heavy variable 2-26,HV226_HUMAN,3,3,5,39998.8046875,102090.8984375,82904.3125
A0A0B4J1V6,A0A0B4J1V6,IGHV3-73,Immunoglobulin heavy variable 3-73,HV373_HUMAN,5,4,4,379876.21875,262749.96875,168279.8125
A0A0B4J1X5,A0A0B4J1X5,IGHV3-74,Immunoglobulin heavy variable 3-74,HV374_HUMAN,4,5,4,145271.046875,173756.53125,110689.609375
A0A0B4J1X8,A0A0B4J1X8,IGHV3-43,Immunoglobulin heavy variable 3-43,HV343_HUMAN,3,3,3,81999.0625,67898.078125,73857.0703125
A0A0B4J1Y8,A0A0B4J1Y8,IGLV9-49,Immunoglobulin lambda variable 9-49,LV949_HUMAN,3,3,3,133033.578125,96674.921875,36695.796875
A0A0B4J1Y9,A0A0B4J1Y9,IGHV3-72,Immunoglobulin heavy variable 3-72,HV372_HUMAN,6,6,6,209912.984375,325657.21875,150873.953125
A0A0B4J1Z2,A0A0B4J1Z2,IGKV1D-43,Immunoglobulin kappa variable 1D-43,KVD43_HUMAN,2,2,2,47469.45703125,59598.515625,40506.66796875
A0A0B4J2D9;P0DP09,A0A0B4J2D9;P0DP09,IGKV1D-13;IGKV1-13,Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13,KVD13_HUMAN;KV113_HUMAN,12,11,12,800419.9375,883568.1875,707750.875
A0A0B4J2H0;P01742,A0A0B4J2H0;P01742,IGHV1-69D;IGHV1-69,Immunoglobulin heavy variable 1-69D;Immunoglobulin heavy variable 1-69,HV69D_HUMAN;HV169_HUMAN,2,2,2,61521.63671875,55524.1953125,22704.64453125
A0A0C4DH24,A0A0C4DH24,IGKV6-21,Immunoglobulin kappa variable 6-21,KV621_HUMAN,1,1,1,102049.046875,212277.15625,211115.84375
A0A0C4DH25,A0A0C4DH25,IGKV3D-20,Immunoglobulin kappa variable 3D-20,KVD20_HUMAN,7,8,7,660269.9375,471075.71875,478889.375
A0A0C4DH29,A0A0C4DH29,IGHV1-3,Immunoglobulin heavy variable 1-3,HV103_HUMAN,11,11,10,369119.5625,445874.5625,384309.0625
A0A0C4DH30,A0A0C4DH30,IGHV3-16,Probable non-functional immunoglobulin heavy variable 3-16,HV316_HUMAN,2,2,2,49548.5078125,31044.8828125,20535.79296875
A0A0C4DH31,A0A0C4DH31,IGHV1-18,Immunoglobulin heavy variable 1-18,HV118_HUMAN,8,8,7,140444.375,166439.171875,111384.2265625
A0A0C4DH32,A0A0C4DH32,IGHV3-20,Immunoglobulin heavy variable 3-20,HV320_HUMAN,4,4,5,81428.34375,55690.87109375,17122.8203125
A0A0C4DH33,A0A0C4DH33,IGHV1-24,Immunoglobulin heavy variable 1-24,HV124_HUMAN,3,3,4,32079.888671875,24036.439453125,15116.2109375
A0A0C4DH34,A0A0C4DH34,IGHV4-28,Immunoglobulin heavy variable 4-28,HV428_HUMAN,9,9,9,74185.2890625,90148.921875,40207.5546875
A0A0C4DH35,A0A0C4DH35,IGHV3-35,Probable non-functional immunoglobulin heavy variable 3-35,HV335_HUMAN,1,1,1,259422.421875,37098.58984375,95962.0859375
A0A0C4DH36,A0A0C4DH36,IGHV3-38,Probable non-functional immunoglobulin heavy variable 3-38,HV338_HUMAN,1,1,1,787663.3125,318161.40625,253197.5625
A0A0C4DH38,A0A0C4DH38,IGHV5-51,Immunoglobulin heavy variable 5-51,HV551_HUMAN,8,8,8,1162963.5,1424934.125,919348.875
A0A0C4DH39,A0A0C4DH39,IGHV1-58,Immunoglobulin heavy variable 1-58,HV158_HUMAN,2,2,1,35555.99609375,16692.326171875,16449.6171875
A0A0C4DH41;P01825,A0A0C4DH41;P01825,IGHV4-61;IGHV4-59,Immunoglobulin heavy variable 4-61;Immunoglobulin heavy variable 4-59,HV461_HUMAN;HV459_HUMAN,17,17,16,703083.75,843989.0625,527065.125
A0A0C4DH42,A0A0C4DH42,IGHV3-66,Immunoglobulin heavy variable 3-66,HV366_HUMAN,2,2,2,214348.015625,447697.78125,163174.578125
A0A0C4DH43,A0A0C4DH43,IGHV2-70D,Immunoglobulin heavy variable 2-70D,HV70D_HUMAN,7,7,6,128269.4765625,163707.046875,32931.64453125
A0A0C4DH55,A0A0C4DH55,IGKV3D-7,Immunoglobulin kappa variable 3D-7,KVD07_HUMAN,2,2,2,138156.703125,123734.3515625,62386.70703125
A0A0C4DH67,A0A0C4DH67,IGKV1-8,Immunoglobulin kappa variable 1-8,KV108_HUMAN,10,10,10,58290.20703125,102322.09375,86467.8828125
A0A0C4DH68,A0A0C4DH68,IGKV2-24,Immunoglobulin kappa variable 2-24,KV224_HUMAN,10,9,10,393208.375,469221.71875,462541.03125
A0A0C4DH69,A0A0C4DH69,IGKV1-9,Immunoglobulin kappa variable 1-9,KV109_HUMAN,2,2,2,681132.8125,757453.6875,1066034.375
A0A0C4DH72,A0A0C4DH72,IGKV1-6,Immunoglobulin kappa variable 1-6,KV106_HUMAN,10,10,10,568814.75,215816.109375,275813.25
A0A0C4DH73;P01611,A0A0C4DH73;P01611,IGKV1-12;IGKV1D-12,Immunoglobulin kappa variable 1-12;Immunoglobulin kappa variable 1D-12,KV112_HUMAN;KVD12_HUMAN,23,23,21,1443356.875,1945778.875,1005588.0625
A0A0G2JS06,A0A0G2JS06,IGLV5-39,Immunoglobulin lambda variable 5-39,LV539_HUMAN,3,4,3,8028.7197265625,21750.73046875,22316.6171875
A0A0J9YVY3,A0A0J9YVY3,IGHV7-4-1,Immunoglobulin heavy variable 7-4-1,HV741_HUMAN,3,1,3,20357.958984375,29055.359375,13183.6572265625
A0A0J9YX35,A0A0J9YX35,IGHV3-64D,Immunoglobulin heavy variable 3-64D,HV64D_HUMAN,2,2,2,112899.25,206799.796875,115759.90625
A0A0J9YXX1,A0A0J9YXX1,IGHV5-10-1,Immunoglobulin heavy variable 5-10-1,HV5X1_HUMAN,2,2,2,66669.078125,41404.08203125,39129.2421875
A0A1B0GTC6,A0A1B0GTC6,C3orf85,Uncharacterized protein C3orf85,CC085_HUMAN,1,1,1,9932.8818359375,11524.8701171875,8304.3681640625
A0M8Q6,A0M8Q6,IGLC7,Immunoglobulin lambda constant 7,IGLC7_HUMAN,2,2,2,94233.2265625,129581.8515625,101766.1171875
A2NJV5,A2NJV5,IGKV2-29,Immunoglobulin kappa variable 2-29,KV229_HUMAN,13,13,13,1066242.875,769545.1875,799048.25
A6NIZ1;P61224,A6NIZ1;P61224,RAP1BL;RAP1B,Ras-related protein Rap-1b-like protein;Ras-related protein Rap-1b,RP1BL_HUMAN;RAP1B_HUMAN,4,4,4,6871.8134765625,13245.4150390625,13211.5947265625
A7E2S9;Q2M2W7;Q9UPS8,A7E2S9;Q2M2W7;Q9UPS8,ANKRD30BL;C17orf58;ANKRD26,Putative ankyrin repeat domain-containing protein 30B-like;UPF0450 protein C17orf58;Ankyrin repeat domain-containing protein 26,A30BL_HUMAN;CQ058_HUMAN;ANR26_HUMAN,0,1,0,NaN,16684.341796875,NaN
B9A064,B9A064,IGLL5,Immunoglobulin lambda-like polypeptide 5,IGLL5_HUMAN,34,36,36,2928582.5,3239602.25,2063480.125
C9JH25,C9JH25,PRRT4,Proline-rich transmembrane protein 4,PRRT4_HUMAN,1,1,1,437162.78125,22333.568359375,66355.5859375
O00151,O00151,PDLIM1,PDZ and LIM domain protein 1,PDLI1_HUMAN,0,1,1,NaN,3932.456787109375,3679.6455078125
O00187,O00187,MASP2,Mannan-binding lectin serine protease 2,MASP2_HUMAN,4,4,4,49883.34765625,53601.12109375,33387.65234375
O00308;Q96J02;Q9H0M0,O00308;Q96J02;Q9H0M0,WWP2;ITCH;WWP1,NEDD4-like E3 ubiquitin-protein ligase WWP2;E3 ubiquitin-protein ligase Itchy homolog;NEDD4-like E3 ubiquitin-protein ligase WWP1,WWP2_HUMAN;ITCH_HUMAN;WWP1_HUMAN,2,2,2,240953.390625,157892.90625,180424.4375
O00391,O00391,QSOX1,Sulfhydryl oxidase 1,QSOX1_HUMAN,13,13,13,101600.390625,113585.953125,114157.28125
O00458,O00458,IFRD1,Interferon-related developmental regulator 1,IFRD1_HUMAN,1,1,1,613102.6875,412865.4375,511927.53125
O00533,O00533,CHL1,Neural cell adhesion molecule L1-like protein,NCHL1_HUMAN,3,4,4,8770.8359375,11880.73046875,9833.240234375
O14786,O14786,NRP1,Neuropilin-1,NRP1_HUMAN,2,3,3,5761.25146484375,8686.8017578125,8848.0146484375
O14791,O14791,APOL1,Apolipoprotein L1,APOL1_HUMAN,15,19,15,754660.125,752226.3125,801438.5625
O43866,O43866,CD5L,CD5 antigen-like,CD5L_HUMAN,22,22,22,597886,740576.0625,370750.3125
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q99877;Q99879;Q99880,O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q99877;Q99879;Q99880,H2BC12;H2BC11;H2BC17;H2BC3;H2BC12L;H2BC5;H2BC4;H2BC21;H2BC18;H2BC26;H2BC9;H2BC15;H2BC14;H2BC13,Histone H2B type 1-K;Histone H2B type 1-J;Histone H2B type 1-O;Histone H2B type 1-B;Histone H2B type F-S;Histone H2B type 1-D;Histone H2B type 1-C/E/F/G/I;Histone H2B type 2-E;Histone H2B type 2-F;Histone H2B type 3-B;Histone H2B type 1-H;Histone H2B type 1-N;Histone H2B type 1-M;Histone H2B type 1-L,H2B1K_HUMAN;H2B1J_HUMAN;H2B1O_HUMAN;H2B1B_HUMAN;H2BFS_HUMAN;H2B1D_HUMAN;H2B1C_HUMAN;H2B2E_HUMAN;H2B2F_HUMAN;H2B3B_HUMAN;H2B1H_HUMAN;H2B1N_HUMAN;H2B1M_HUMAN;H2B1L_HUMAN,1,1,1,10317.7080078125,12015.8525390625,10690.685546875
O75015,O75015,FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,FCG3B_HUMAN,0,2,2,NaN,8616.6181640625,4489.6201171875
O75636,O75636,FCN3,Ficolin-3,FCN3_HUMAN,9,9,8,122432.15625,131016.5078125,62190.25
O75882,O75882,ATRN,Attractin,ATRN_HUMAN,30,30,30,161160.21875,176365.984375,149266.515625
O76075,O76075,DFFB,DNA fragmentation factor subunit beta,DFFB_HUMAN,2,2,2,185362.140625,292321.53125,277201.40625
O94941,O94941,UBOX5,RING finger protein 37,RNF37_HUMAN,1,1,1,185786.1875,186922.5625,126356.9140625
O95445,O95445,APOM,Apolipoprotein M,APOM_HUMAN,13,13,13,389349.15625,512394.25,413719.4375
O95497,O95497,VNN1,Pantetheinase,VNN1_HUMAN,2,2,0,4777.30908203125,17163.552734375,NaN
P00001,P00001,,concatemer,variant,83,86,98,4050123.75,3924436.5,3606002
P00441,P00441,SOD1,Superoxide dismutase [Cu-Zn],SODC_HUMAN,1,1,1,12175.1904296875,18648.3203125,18741.236328125
P00450,P00450,CP,Ceruloplasmin,CERU_HUMAN,121,120,121,3331993.5,3358204.75,3446347.25
P00488,P00488,F13A1,Coagulation factor XIII A chain,F13A_HUMAN,25,25,25,76162.046875,99554.515625,126635.890625
P00558,P00558,PGK1,Phosphoglycerate kinase 1,PGK1_HUMAN,2,2,2,4954.966796875,6516.6484375,10224.451171875
P00734,P00734,F2,Prothrombin,THRB_HUMAN,70,72,72,1954015.5,1972426.25,1915345.75
P00736,P00736,C1R,Complement C1r subcomponent,C1R_HUMAN,56,55,56,291632.125,182169.5625,301130.53125
P00738,P00738,HP,Haptoglobin,HPT_HUMAN,150,151,137,15013852,18570006,23958622
P00739,P00739,HPR,Haptoglobin-related protein,HPTR_HUMAN,12,16,16,845955.3125,885762.25,1226019
P00740,P00740,F9,Coagulation factor IX,FA9_HUMAN,12,11,12,64645.32421875,61059.35546875,65148.24609375
P00742,P00742,F10,Coagulation factor X,FA10_HUMAN,12,12,12,122543.765625,140738.890625,134759.78125
P00746,P00746,CFD,Complement factor D,CFAD_HUMAN,7,7,7,98767.4375,95717,138162.421875
P00747,P00747,PLG,Plasminogen,PLMN_HUMAN,128,128,128,1913766.5,1849329,2043601.875
P00748,P00748,F12,Coagulation factor XII,FA12_HUMAN,33,34,34,281504.46875,591445.6875,563832.125
P00751,P00751,CFB,Complement factor B,CFAB_HUMAN,94,94,89,1815339.5,1510113.375,2229501.5
P00760,P00760,,Cationic trypsin,TRY1_BOVIN,101,100,100,33741148,40215584,34573596
P00761,P00761,,Trypsin,TRYP_PIG,3,3,3,4470089,4499161,4296949.5
P00915,P00915,CA1,Carbonic anhydrase 1,CAH1_HUMAN,15,15,15,77542.7734375,106731.1171875,163185.03125
P00918,P00918,CA2,Carbonic anhydrase 2,CAH2_HUMAN,5,5,5,18823.919921875,29902.0546875,34408.078125
P01008,P01008,SERPINC1,Antithrombin-III,ANT3_HUMAN,73,74,74,3067964,3196786,3259004
P01009,P01009,SERPINA1,Alpha-1-antitrypsin,A1AT_HUMAN,136,136,136,16014423,17350492,14153341
P01011,P01011,SERPINA3,Alpha-1-antichymotrypsin,AACT_HUMAN,52,52,52,3277858.75,2879054.75,3324159.5
P01019,P01019,AGT,Angiotensinogen,ANGT_HUMAN,24,26,26,1220691,1166525,870069.4375
P01023,P01023,A2M,Alpha-2-macroglobulin,A2MG_HUMAN,299,303,302,6730648,12262652,6556779
P01024,P01024,C3,Complement C3,CO3_HUMAN,325,327,327,7313188.5,6191230,6597281
P01031,P01031,C5,Complement C5,CO5_HUMAN,106,107,107,522301.15625,460451.5625,604521.375
P01034,P01034,CST3,Cystatin-C,CYTC_HUMAN,6,6,6,42520.62890625,47398.63671875,47409.76953125
P01042,P01042,KNG1,Kininogen-1,KNG1_HUMAN,69,70,70,1567252.75,1600877.375,1713882.5
P01344,P01344,IGF2,Insulin-like growth factor II,IGF2_HUMAN,4,4,4,106326.1015625,95331.6953125,91168.546875
P01591,P01591,JCHAIN,Immunoglobulin J chain,IGJ_HUMAN,15,15,15,839237,960937.125,572991.875
P01593;P01594,P01593;P01594,IGKV1D-33;IGKV1-33,Immunoglobulin kappa variable 1D-33;Immunoglobulin kappa variable 1-33,KVD33_HUMAN;KV133_HUMAN,16,15,15,687633.4375,667819.6875,513310.9375
P01597;P04432,P01597;P04432,IGKV1-39;IGKV1D-39,Immunoglobulin kappa variable 1-39;Immunoglobulin kappa variable 1D-39,KV139_HUMAN;KVD39_HUMAN,6,6,6,87787.484375,114472.6953125,63324.53125
P01601,P01601,IGKV1D-16,Immunoglobulin kappa variable 1D-16,KVD16_HUMAN,2,2,2,57062.2890625,121472.796875,72795.3359375
P01602,P01602,IGKV1-5,Immunoglobulin kappa variable 1-5,KV105_HUMAN,8,9,8,1732839.25,2268636.5,1334715.75
P01619,P01619,IGKV3-20,Immunoglobulin kappa variable 3-20,KV320_HUMAN,28,28,28,2118684.75,2231912.5,1631467.25
P01624,P01624,IGKV3-15,Immunoglobulin kappa variable 3-15,KV315_HUMAN,18,17,18,2011793.875,1836361.625,1665855.5
P01699,P01699,IGLV1-44,Immunoglobulin lambda variable 1-44,LV144_HUMAN,17,17,16,151737.1875,177623.984375,142332.15625
P01700,P01700,IGLV1-47,Immunoglobulin lambda variable 1-47,LV147_HUMAN,3,3,3,374673.03125,379188.9375,302026.78125
P01701,P01701,IGLV1-51,Immunoglobulin lambda variable 1-51,LV151_HUMAN,12,12,12,357244.375,329843.4375,232936.046875
P01703,P01703,IGLV1-40,Immunoglobulin lambda variable 1-40,LV140_HUMAN,11,11,11,350152.03125,396309.0625,300513.3125
P01704,P01704,IGLV2-14,Immunoglobulin lambda variable 2-14,LV214_HUMAN,2,2,2,11293.2099609375,302293.09375,104585.7109375
P01705,P01705,IGLV2-23,Immunoglobulin lambda variable 2-23,LV223_HUMAN,3,0,3,24010.732421875,NaN,34725.75390625
P01706,P01706,IGLV2-11,Immunoglobulin lambda variable 2-11,LV211_HUMAN,14,14,15,69721.640625,87634.015625,64991.109375
P01709,P01709,IGLV2-8,Immunoglobulin lambda variable 2-8,LV208_HUMAN,2,2,2,137831.859375,320348.96875,174762.3125
P01714,P01714,IGLV3-19,Immunoglobulin lambda variable 3-19,LV319_HUMAN,7,7,6,237270.375,256416.21875,248376.015625
P01717,P01717,IGLV3-25,Immunoglobulin lambda variable 3-25,LV325_HUMAN,11,11,10,768954.375,1046954.375,602022.9375
P01718,P01718,IGLV3-27,Immunoglobulin lambda variable 3-27,LV327_HUMAN,7,7,6,259244.09375,423644.65625,130247.25
P01721,P01721,IGLV6-57,Immunoglobulin lambda variable 6-57,LV657_HUMAN,6,6,5,266314.1875,162567.328125,164002.296875
P01743,P01743,IGHV1-46,Immunoglobulin heavy variable 1-46,HV146_HUMAN,2,2,2,88500.84375,141114.40625,71915.640625
P01762,P01762,IGHV3-11,Immunoglobulin heavy variable 3-11,HV311_HUMAN,3,3,2,19976.630859375,25171.6640625,22495.703125
P01763,P01763,IGHV3-48,Immunoglobulin heavy variable 3-48,HV348_HUMAN,20,18,20,4886479,4330674,3783454.5
P01764,P01764,IGHV3-23,Immunoglobulin heavy variable 3-23,HV323_HUMAN,10,10,10,835796.1875,1169729.375,752687.5
P01766,P01766,IGHV3-13,Immunoglobulin heavy variable 3-13,HV313_HUMAN,2,2,2,79676.6171875,69018.6015625,78799.3125
P01767,P01767,IGHV3-53,Immunoglobulin heavy variable 3-53,HV353_HUMAN,1,1,3,14171.5615234375,22149.701171875,314625.28125
P01768;P0DP03,P01768;P0DP03,IGHV3-30;IGHV3-30-5,Immunoglobulin heavy variable 3-30;Immunoglobulin heavy variable 3-30-5,HV330_HUMAN;HVC05_HUMAN,7,7,7,340760.0625,482487.40625,294984.6875
P01780,P01780,IGHV3-7,Immunoglobulin heavy variable 3-7,HV307_HUMAN,5,4,4,301317.03125,238770.546875,213204.84375
P01782,P01782,IGHV3-9,Immunoglobulin heavy variable 3-9,HV309_HUMAN,8,7,8,1611855.5,924286.5625,1248596.5
P01814,P01814,IGHV2-70,Immunoglobulin heavy variable 2-70,HV270_HUMAN,2,0,0,26686.61328125,NaN,NaN
P01817,P01817,IGHV2-5,Immunoglobulin heavy variable 2-5,HV205_HUMAN,3,3,4,17168.865234375,19058.927734375,20009.517578125
P01833,P01833,PIGR,Polymeric immunoglobulin receptor,PIGR_HUMAN,11,11,11,21644.46484375,36291.40625,18334.240234375
P01834,P01834,IGKC,Immunoglobulin kappa constant,IGKC_HUMAN,56,56,56,47344800,41385484,33912336
P01857,P01857,IGHG1,Immunoglobulin heavy constant gamma 1,IGHG1_HUMAN,178,177,177,52051484,65523512,39974812
P01859,P01859,IGHG2,Immunoglobulin heavy constant gamma 2,IGHG2_HUMAN,70,70,70,42188604,23024312,29174210
P01860,P01860,IGHG3,Immunoglobulin heavy constant gamma 3,IGHG3_HUMAN,24,25,25,3720582,4225395,1812817.375
P01861,P01861,IGHG4,Immunoglobulin heavy constant gamma 4,IGHG4_HUMAN,38,35,36,14710360,4924981.5,6685276.5
P01871,P01871,IGHM,Immunoglobulin heavy constant mu,IGHM_HUMAN,76,75,76,4593712.5,6023351.5,2765659.5
P01876,P01876,IGHA1,Immunoglobulin heavy constant alpha 1,IGHA1_HUMAN,56,55,56,19736532,13753362,10903363
P01877,P01877,IGHA2,Immunoglobulin heavy constant alpha 2,IGHA2_HUMAN,4,2,2,874888.625,1637721.625,1310135.625
P01880,P01880,IGHD,Immunoglobulin heavy constant delta,IGHD_HUMAN,18,18,18,408635,371598.8125,237794.859375
P01889,P01889,HLA-B,"HLA class I histocompatibility antigen, B alpha chain",HLAB_HUMAN,0,1,1,NaN,7932.89697265625,6258.93701171875
P02042,P02042,HBD,Hemoglobin subunit delta,HBD_HUMAN,34,34,34,1914316,3110920.75,3348911.5
P02647,P02647,APOA1,Apolipoprotein A-I,APOA1_HUMAN,180,181,181,19894642,25333054,23050812
P02649,P02649,APOE,Apolipoprotein E,APOE_HUMAN,40,39,40,1743177.5,1534613.125,1404786.25
P02652,P02652,APOA2,Apolipoprotein A-II,APOA2_HUMAN,20,19,19,7756015,6507533.5,6425333.5
P02654,P02654,APOC1,Apolipoprotein C-I,APOC1_HUMAN,16,16,16,1544328.25,1718091.125,1732661.125
P02655,P02655,APOC2,Apolipoprotein C-II,APOC2_HUMAN,8,8,8,1032535.375,1042200.125,1092601.5
P02656,P02656,APOC3,Apolipoprotein C-III,APOC3_HUMAN,9,9,9,4040818.5,3677501.25,3809240.25
P02671,P02671,FGA,Fibrinogen alpha chain,FIBA_HUMAN,153,152,154,16242233,11709270,14620817
P02675,P02675,FGB,Fibrinogen beta chain,FIBB_HUMAN,172,173,174,14903684,10866677,13332683
P02679,P02679,FGG,Fibrinogen gamma chain,FIBG_HUMAN,142,141,143,12117387,9097439,10858804
P02730,P02730,SLC4A1,Band 3 anion transport protein,B3AT_HUMAN,2,2,2,10952.1162109375,23751.216796875,12094.3798828125
P02743,P02743,APCS,Serum amyloid P-component,SAMP_HUMAN,9,9,9,151024.953125,107180.46875,223006.03125
P02745,P02745,C1QA,Complement C1q subcomponent subunit A,C1QA_HUMAN,9,9,9,289195.59375,163732.640625,228211.578125
P02746,P02746,C1QB,Complement C1q subcomponent subunit B,C1QB_HUMAN,12,12,12,374488.3125,216140.90625,331058.9375
P02747,P02747,C1QC,Complement C1q subcomponent subunit C,C1QC_HUMAN,7,6,7,1010626.6875,566213.25,849057.9375
P02748,P02748,C9,Complement component C9,CO9_HUMAN,38,37,38,944938.375,740929.875,904913.25
P02749,P02749,APOH,Beta-2-glycoprotein 1,APOH_HUMAN,45,48,48,3726058.5,3854809.5,3821059.25
P02750,P02750,LRG1,Leucine-rich alpha-2-glycoprotein,A2GL_HUMAN,23,23,23,687010.3125,835774.3125,749938.3125
P02751,P02751,FN1,Fibronectin,FINC_HUMAN,164,164,164,1907808,1993959.25,1882533
