PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.Quantity,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.Quantity,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.Quantity
P09172,P09172,DBH,Dopamine beta-hydroxylase,DOPO_HUMAN,6,5,6,29315.54296875,14838.2421875,59999.69140625
P09211,P09211,GSTP1,Glutathione S-transferase P,GSTP1_HUMAN,1,1,1,20.523759841918945,5677.61083984375,4234.48486328125
P09486,P09486,SPARC,SPARC,SPRC_HUMAN,5,5,5,16773.953125,24296.728515625,28771.419921875
P09871,P09871,C1S,Complement C1s subcomponent,C1S_HUMAN,42,42,42,640586.8125,376620.1875,652305.625
P09874,P09874,PARP1,Poly [ADP-ribose] polymerase 1,PARP1_HUMAN,1,1,1,58055.97265625,98185.6796875,104485.4765625
P0C0L4,P0C0L4,C4A,Complement C4-A,CO4A_HUMAN,214,185,216,2357293.5,509312.96875,3095936.5
P0C0L5,P0C0L5,C4B,Complement C4-B,CO4B_HUMAN,7,6,7,229758.453125,84382.15625,366841.3125
P0DJI8,P0DJI8,SAA1,Serum amyloid A-1 protein,SAA1_HUMAN,6,6,6,67114.40625,84434.7578125,139660.546875
P0DOY3,P0DOY3,IGLC3,Immunoglobulin lambda constant 3,IGLC3_HUMAN,14,14,14,6535783.5,7296666.5,5396919.5
P0DTE1,P0DTE1,IGHV3-38-3,Probable non-functional immunoglobulin heavy variable 3-38-3,HV383_HUMAN,2,2,2,36109.91015625,63061.13671875,19355.42578125
P10124,P10124,SRGN,Serglycin,SRGN_HUMAN,1,1,1,1159.6768798828125,4283.451171875,5100.76953125
P10643,P10643,C7,Complement component C7,CO7_HUMAN,45,44,45,262441.3125,307775.4375,237979.765625
P10646,P10646,TFPI,Tissue factor pathway inhibitor,TFPI1_HUMAN,1,1,1,3998.498779296875,2549.5185546875,4162.2392578125
P10720,P10720,PF4V1,Platelet factor 4 variant,PF4V_HUMAN,2,2,2,1450.620361328125,4064.841552734375,1205.6719970703125
P10909,P10909,CLU,Clusterin,CLUS_HUMAN,48,48,48,3554847.5,2950301.25,3605298.75
P11021,P11021,HSPA5,Endoplasmic reticulum chaperone BiP,BIP_HUMAN,6,7,7,23639.22265625,24967.279296875,21487.111328125
P11142,P11142,HSPA8,Heat shock cognate 71 kDa protein,HSP7C_HUMAN,1,1,1,2707.6806640625,8898.7744140625,11252.5986328125
P11226,P11226,MBL2,Mannose-binding protein C,MBL2_HUMAN,7,7,6,41637.41015625,87240.984375,36365.34765625
P11597,P11597,CETP,Cholesteryl ester transfer protein,CETP_HUMAN,4,3,4,72483.4453125,40062.61328125,46902.44921875
P12111,P12111,COL6A3,Collagen alpha-3(VI) chain,CO6A3_HUMAN,5,6,6,8368.779296875,13463.953125,8411.017578125
P12259,P12259,F5,Coagulation factor V,FA5_HUMAN,44,44,42,64195.40625,55886.125,65080.33984375
P12830,P12830,CDH1,Cadherin-1,CADH1_HUMAN,2,1,2,7128.2451171875,5955.15380859375,11870.6669921875
P12955,P12955,PEPD,Xaa-Pro dipeptidase,PEPD_HUMAN,1,1,1,1135.404296875,3729.83740234375,5591.3701171875
P13591,P13591,NCAM1,Neural cell adhesion molecule 1,NCAM1_HUMAN,5,5,5,20137.67578125,32117.0703125,19726.375
P13598,P13598,ICAM2,Intercellular adhesion molecule 2,ICAM2_HUMAN,2,2,2,13190.033203125,22726.650390625,20118.529296875
P13645,P13645,KRT10,"Keratin, type I cytoskeletal 10",K1C10_HUMAN,14,14,12,23202.419921875,53948.51171875,8545.7548828125
P13671,P13671,C6,Complement component C6,CO6_HUMAN,58,58,57,517187.96875,554277.5,498717.0625
P13796,P13796,LCP1,Plastin-2,PLSL_HUMAN,7,7,7,41360.84375,36970.78515625,37083.08203125
P13987,P13987,CD59,CD59 glycoprotein,CD59_HUMAN,2,2,2,4134.31103515625,4756.845703125,3516.454833984375
P14151,P14151,SELL,L-selectin,LYAM1_HUMAN,10,10,10,55501.17578125,68845.21875,57208.58984375
P14618,P14618,PKM,Pyruvate kinase PKM,KPYM_HUMAN,5,5,6,10861.1572265625,18821.533203125,19016.91015625
P14625,P14625,HSP90B1,Endoplasmin,ENPL_HUMAN,1,0,1,9762.4130859375,NaN,5314.3955078125
P14780,P14780,MMP9,Matrix metalloproteinase-9,MMP9_HUMAN,3,3,3,12121.2880859375,10887.427734375,9970.296875
P15144,P15144,ANPEP,Aminopeptidase N,AMPN_HUMAN,4,4,4,8530.0390625,23532.095703125,10584.1396484375
P15151,P15151,PVR,Poliovirus receptor,PVR_HUMAN,1,2,2,12769.013671875,29763.490234375,25093.93359375
P15169,P15169,CPN1,Carboxypeptidase N catalytic chain,CBPN_HUMAN,13,13,13,148683.46875,140683.296875,151388.546875
P15259;P18669;Q8N0Y7,P15259;P18669;Q8N0Y7,PGAM2;PGAM1;PGAM4,Phosphoglycerate mutase 2;Phosphoglycerate mutase 1;Probable phosphoglycerate mutase 4,PGAM2_HUMAN;PGAM1_HUMAN;PGAM4_HUMAN,1,1,1,7691.68994140625,8780.2822265625,8638.3232421875
P15291,P15291,B4GALT1,"Beta-1,4-galactosyltransferase 1",B4GT1_HUMAN,1,1,1,6186.22509765625,7406.52734375,6920.73486328125
P15814,P15814,IGLL1,Immunoglobulin lambda-like polypeptide 1,IGLL1_HUMAN,5,5,5,2334203,2106087.5,1444178.375
P16035,P16035,TIMP2,Metalloproteinase inhibitor 2,TIMP2_HUMAN,2,2,2,11577.630859375,14105.806640625,14784.900390625
P16070,P16070,CD44,CD44 antigen,CD44_HUMAN,1,1,1,52511.1796875,61183.52734375,49694.64453125
