File,Glycan_Composition,Moiety_Mass_(Da),Glycan_Type,Glycan_Mass_(Da),num_Protein,num_Site,Percent_Relative_Abundance_in_Sample
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(7)HexNAc(2),0,Oligo-Mannose,1540.5284,4,4,0.2034
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(10)HexNAc(8)NeuAc(2),0,Complex/Hybrid,3827.3539,2,2,0.2006
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(4)HexNAc(3),0,Complex/Hybrid,1257.4494,6,6,0.1967
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(4)Fuc(1),0,Complex/Hybrid,3663.2854,2,5,0.189
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(1)Fuc(3),0,Complex/Hybrid,2351.8506,9,11,0.1886
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(2),0,Oligo-Mannose,1216.4228,6,6,0.1764
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(2),0,Complex/Hybrid,2935.0367,5,9,0.1671
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(2)Fuc(1),0,Complex/Hybrid,2715.9624,7,12,0.1628
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(3)NeuAc(1),0,Complex/Hybrid,1710.5976,5,5,0.1612
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(3)NeuAc(1),0,Complex/Hybrid,1872.6504,7,7,0.1586
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(3)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,1735.6292,2,2,0.1575
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(7)HexNAc(2),0,Oligo-Mannose,1540.5284,4,4,0.1565
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(4)HexNAc(4),0,Complex/Hybrid,1460.5287,2,2,0.1562
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(2),0,Oligo-Mannose,1216.4228,6,6,0.1505
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(4)Fuc(1),0,Complex/Hybrid,3663.2854,3,5,0.1504
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(3)NeuAc(1),0,Complex/Hybrid,1872.6504,7,7,0.1468
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(5)NeuAc(2)Fuc(1),0,Complex/Hybrid,2553.9096,2,3,0.1369
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(5)NeuAc(2)Fuc(1),0,Complex/Hybrid,2553.9096,2,3,0.1365
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(4)HexNAc(3)NeuAc(1)Fuc(1),0,Complex/Hybrid,1694.6027,5,5,0.1333
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(4)Fuc(4),0,Complex/Hybrid,2206.8131,7,8,0.1328
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(2)Fuc(3),0,Complex/Hybrid,3008.0782,9,12,0.1245
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(2)Fuc(1),0,Complex/Hybrid,3081.0946,3,4,0.121
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(4)HexNAc(3),0,Complex/Hybrid,1257.4494,6,6,0.1209
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(5)Fuc(3),0,Complex/Hybrid,2263.8346,1,1,0.1206
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(4)HexNAc(4)NeuAc(1),0,Complex/Hybrid,1751.6241,9,9,0.1168
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(9)HexNAc(7)NeuAc(3)Fuc(3),0,Complex/Hybrid,4191.4908,2,2,0.1162
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(4)HexNAc(3)NeuAc(1)Fuc(1),0,Complex/Hybrid,1694.6027,5,5,0.1132
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(2)Fuc(1),0,Complex/Hybrid,2715.9624,8,12,0.1126
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(5)NeuAc(2)Fuc(1),0,Complex/Hybrid,2553.9096,2,3,0.1102
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(8)HexNAc(2),0,Oligo-Mannose,1702.5813,4,4,0.1084
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(2)Fuc(3),0,Complex/Hybrid,3008.0782,7,9,0.1063
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(4),0,Complex/Hybrid,1784.6344,3,3,0.1062
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(1)Fuc(3),0,Complex/Hybrid,2716.9828,5,6,0.1061
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(2)Fuc(3),0,Complex/Hybrid,3008.0782,6,10,0.1016
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(1)Fuc(3),0,Complex/Hybrid,2351.8506,11,12,0.1008
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(1)Fuc(3),0,Complex/Hybrid,2351.8506,7,7,0.1007
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(4)HexNAc(3)NeuAc(1)Fuc(1),0,Complex/Hybrid,1694.6027,5,5,0.1003
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(2),0,Oligo-Mannose,1216.4228,6,6,0.0994
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(3)NeuAc(1),0,Complex/Hybrid,1872.6504,4,4,0.0936
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(4)HexNAc(4)NeuAc(1),0,Complex/Hybrid,1751.6241,7,7,0.09
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(4)NeuAc(1),0,Complex/Hybrid,2075.7298,5,5,0.0885
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(4)HexNAc(4)NeuAc(1),0,Complex/Hybrid,1751.6241,7,8,0.0883
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(3)Fuc(2),0,Complex/Hybrid,3518.2479,5,7,0.086
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(4)HexNAc(3),0,Complex/Hybrid,1257.4494,6,6,0.0853
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(5)NeuAc(1),0,Complex/Hybrid,2116.7563,7,8,0.0847
