Protein_Name	avg_site_specific_glycans_Ti_IMAC	sd_site_specific_glycans_Ti_IMAC	avg_site_specific_glycans_PolyA_rep1	sd_site_specific_glycans_PolyA_rep1	avg_site_specific_glycans_PolyA_rep2	sd_site_specific_glycans_PolyA_rep2
Fibronectin	8.33333333333333	1.52752523165195	21.3333333333333	2.3094010767585	15.3333333333333	1.15470053837925
Protein AMBP	3	1	3.33333333333333	0.577350269189626	5.66666666666667	1.52752523165195
Alpha-1-acid glycoprotein 1	69	5.29150262212918	75.6666666666667	6.65832811847939	119.666666666667	6.02771377334171
Alpha-2-HS-glycoprotein	28.3333333333333	1.15470053837925	32.3333333333333	3.51188458428425	42.3333333333333	4.93288286231625
Serotransferrin	29.6666666666667	4.16333199893227	39.6666666666667	5.85946527708232	50.6666666666667	5.5075705472861
Hemopexin	34	5.19615242270663	38	2.64575131106459	44.6666666666667	3.05505046330389
Plasma kallikrein	11.3333333333333	3.21455025366432	7.66666666666667	0.577350269189626	5	1
Vitronectin	24.6666666666667	3.78593889720018	37.6666666666667	5.03322295684717	37.3333333333333	3.78593889720018
Apolipoprotein B-100	25.3333333333333	5.85946527708232	38.6666666666667	2.88675134594813	16.3333333333333	1.15470053837925
Histidine-rich glycoprotein	2.66666666666667	0.577350269189626	23.6666666666667	3.21455025366432	33	3.60555127546399
Alpha-1B-glycoprotein	4.33333333333333	0.577350269189626	4.66666666666667	0.577350269189626	4.66666666666667	0.577350269189626
Apolipoprotein D	40.3333333333333	1.52752523165195	32.3333333333333	2.08166599946613	51.6666666666667	1.15470053837925
Plasma protease C1 inhibitor	76	8.54400374531753	81.3333333333333	7.09459888459759	135.333333333333	3.78593889720018
Complement factor I	5.33333333333333	1.52752523165195	8	1	9.66666666666667	1.52752523165195
Coagulation factor XIII B chain	3.66666666666667	0.577350269189626	6.33333333333333	1.52752523165195	7.66666666666667	1.15470053837925
Thyroxine-binding globulin	2	1	4	0	6	1.73205080756888
Heparin cofactor 2	7.33333333333333	2.08166599946613	9.66666666666667	0.577350269189626	8.33333333333333	3.05505046330389
Corticosteroid-binding globulin	9.66666666666667	3.51188458428425	26.3333333333333	1.15470053837925	15.6666666666667	2.88675134594813
Complement factor H	24.6666666666667	2.51661147842358	31.3333333333333	5.03322295684717	45.6666666666667	4.16333199893227
Complement C4-A	16.6666666666667	3.05505046330389	22	1	22.6666666666667	2.08166599946613
Complement C4-B	16.6666666666667	3.05505046330389	22	1	22.6666666666667	2.08166599946613
Clusterin	23.6666666666667	4.04145188432738	32	2.64575131106459	34	2.64575131106459
Complement component C6	4.33333333333333	0.577350269189626	3.33333333333333	1.15470053837925	1.33333333333333	0.577350269189626
Alpha-1-acid glycoprotein 2	54	5.56776436283002	63	6.08276253029822	92	4
Inter-alpha-trypsin inhibitor heavy chain H2	2.66666666666667	0.577350269189626	3	0	1.33333333333333	0.577350269189626
C4b-binding protein beta chain	2	1	7.66666666666667	0.577350269189626	5	1
Zinc-alpha-2-glycoprotein	12.3333333333333	1.52752523165195	22	1	23	2
Serum paraoxonase/arylesterase 1	7.66666666666667	1.52752523165195	13.3333333333333	2.51661147842358	7.66666666666667	1.15470053837925
Kallistatin	2.33333333333333	1.15470053837925	3.66666666666667	0.577350269189626	3	0
Complement factor H-related protein 2	1.33333333333333	0.577350269189626	2	1	4.33333333333333	1.52752523165195
Afamin	4	1	11.6666666666667	0.577350269189626	13.3333333333333	1.52752523165195
Complement factor H-related protein 1	6	2	6.66666666666667	1.15470053837925	11.6666666666667	1.15470053837925
Inter-alpha-trypsin inhibitor heavy chain H4	12.3333333333333	2.51661147842358	10.6666666666667	0.577350269189626	15	3.60555127546399
N-acetylmuramoyl-L-alanine amidase	2.66666666666667	2.08166599946613	2	1	1	0
