Glycan_Composition	avg_pct_rel_abundance_Ti_IMAC_glycan	sd_pct_rel_abundance_Ti_IMAC_glycan	avg_pct_rel_abundance_PolyA_rep1_glycan	sd_pct_rel_abundance_PolyA_rep1_glycan	avg_pct_rel_abundance_PolyA_rep2_glycan	sd_pct_rel_abundance_PolyA_rep2_glycan
H(7)N(6)S(2)F(1)	0.0744333333333333	0.0469546944759875	0.1025	0.0295257514722318	0.2094	0.0809674008475016
H(4)N(4)S(1)	0.0983666666666667	0.0159863483426746	0.214	0.0343201107224321	0.00893333333333333	0.00023094010767585
H(7)N(6)S(3)F(2)	0.0549333333333333	0.0394118425518693	0.0583666666666667	0.016416252109825	0.218033333333333	0.195485992678077
H(5)N(5)S(1)	0.0573666666666667	0.0238137215347231	0.0794666666666667	0.00411865673895426	0.0734	0.0206487287744306
H(7)N(6)S(2)F(3)	0.0235	0.0323464062918897	0.0215333333333333	0.0172401662791672	0.00473333333333333	0.00386307304271267
H(4)N(5)S(1)F(1)	0.0464666666666667	0.00801581769586443	0.0899333333333333	0.00755932095715834	0.0665666666666667	0.00604758905129418
H(7)N(6)S(3)F(1)	0.0391	0.0104	0.2281	0.00533572862878164	0.5214	0.0609733548363545
H(6)N(5)S(1)F(1)	0.0417666666666667	0.00710093890505568	0.0929	0.0110489818535465	0.160266666666667	0.00913089991913904
H(5)N(3)S(1)F(1)	0.0437666666666667	0.00410162569395762	0.0418666666666667	0.00142243921955679	0.0168	0.00204205778566621
H(8)N(7)S(4)	0.0298	0.0165972889352448	0.0317666666666667	0.0132515407909169	0.0697333333333333	0.004366157731156
H(6)N(3)S(1)F(1)	0.0341	0.00957862203033401	0.0160333333333333	0.0105077748992512	0.0174	0.00871263450398328
H(8)N(7)S(1)	0.0236	0.0198743553354568	0.0108	0.0117234807118023	0.0206666666666667	0.0326855217693298
H(3)N(3)	0.0292666666666667	0.0107099642078456	0.012	0.00745050333870135	0.0184333333333333	0.00289885034683292
H(8)N(7)S(3)	0.0281666666666667	0.00545007645206316	0.0280333333333333	0.013701216491003	0.0740333333333333	0.00806494471979402
H(5)N(4)F(3)	0.012	0.0107949062061697	0.0211666666666667	0.00533510387277824	0.0187666666666667	0.0132666247905537
H(10)N(2)	0.0154333333333333	0.00953222604292058	0.0833333333333333	0.00576396854027964	0.1072	0.0106663020771025
H(6)N(4)S(2)	0.0163	0.00565066367783467	0.0337333333333333	0.0206243383732263	0.0266	0.00788225855957542
H(6)N(4)F(1)	0.0158666666666667	0.00235017729827631	0.0104333333333333	0.00486449723335653	0.0746666666666667	0.00385529938310027
H(7)N(6)S(1)	0.00933333333333333	0.00474271370982198	0.0560666666666667	0.0297399282671182	0.0982666666666667	0.00136137185711081
H(5)N(5)S(2)	0.00743333333333333	0.00460904907039764	0.0056	0.00204205778566621	0.0288	0.00185202591774521
H(8)N(7)S(1)F(1)	0.00776666666666667	0.00371662929727103	0.0173	0.00262868788561898	0.0425333333333333	0.0214126909409661
H(6)N(5)S(3)F(2)	0.00593333333333333	0.00366651514838454	0.156766666666667	0.016690216695218	0.332133333333333	0.046073998451766
H(4)N(5)S(1)	0.00623333333333333	0.00321299444962691	0.000466666666666667	0.000208166599946613	0.000533333333333333	0.000152752523165195
H(6)N(5)	0.00626666666666667	0.00251462389500564	0.00373333333333333	0.00176162803489651	0.0025	0.000754983443527075
H(5)N(5)S(1)F(2)	0.00276666666666667	0.00118462370959446	0.00136666666666667	0.000585946527708232	0.0209	0.00185202591774521
