RT	Window.Low	Window.High	204.087
0.0483468	930.673	935.675	175.656
0.0485396	935.675	940.677	236.617
0.0487285	940.677	945.68	254.941
0.0488925	945.68	950.682	112.512
0.0490847	950.682	955.684	104.137
0.0492487	955.684	960.687	244.633
0.0494125	960.687	965.689	64.315
0.0502792	965.689	970.691	488.242
0.0504432	970.691	975.693	0
0.0506321	975.693	980.696	0
0.0508237	980.696	985.698	328.505
0.0509945	985.698	990.7	159.351
0.0511647	990.7	995.702	690.957
0.0513287	995.702	1000.7	235.334
0.0515063	1000.7	1005.71	675.458
0.0516787	1005.71	1010.71	197.174
0.0518512	1010.71	1015.71	437.578
0.0520401	1015.71	1020.71	779.592
0.0522229	1020.71	1025.72	320.591
0.0523985	1025.72	1030.72	96.1195
0.0525715	1030.72	1035.72	172.073
0.0527443	1035.72	1040.72	332.94
0.0529332	1040.72	1045.73	585.159
0.0531063	1045.73	1050.73	198.565
0.0532795	1050.73	1055.73	436.142
0.0534684	1055.73	1060.73	0
0.0536417	1060.73	1065.73	408.954
0.0538149	1065.73	1070.74	183.368
0.0539885	1070.74	1075.74	122.625
0.054162	1075.74	1080.74	268.449
0.0543677	380.423	385.425	0
0.0545321	385.425	390.427	139.29
0.0546985	390.427	395.43	0
0.0548653	395.43	400.432	0
0.0550333	400.432	405.434	0
0.0552248	405.434	410.436	0
0.0554137	410.436	415.439	114.783
0.0555777	415.439	420.441	99.5973
0.0557421	420.441	425.443	0
0.055906	425.443	430.446	0
0.0560801	430.446	435.448	0
0.0562441	435.448	440.45	88.6599
0.0564129	440.45	445.452	0
0.0566047	445.452	450.455	0
0.0567761	450.455	455.457	0
0.0569401	455.457	460.459	159.023
0.0571063	460.459	465.461	153.202
0.0572703	465.461	470.464	0
0.0574844	470.464	475.466	0
0.0576484	475.466	480.468	0
0.0578156	480.468	485.471	0
0.0580073	485.471	490.473	0
0.0581764	490.473	495.475	0
0.0583404	495.475	500.477	0
0.0585067	500.477	505.48	106.962
0.0586709	505.48	510.482	0
0.0588457	510.482	515.484	0
0.0597427	515.484	520.486	0
0.0599321	520.486	525.489	0
0.0601211	525.489	530.491	0
0.06031	530.491	535.493	0
0.0605241	535.493	540.496	84.6023
0.0606881	540.496	545.498	0
0.0608545	545.498	550.5	0
0.0610461	550.5	555.502	0
0.0612403	555.502	560.505	0
0.0614292	560.505	565.507	0
0.0615953	565.507	570.509	116.886
0.0617843	570.509	575.511	0
0.0619495	575.511	580.514	0
0.0621384	580.514	585.516	0
0.0623043	585.516	590.518	0
0.0624932	590.518	595.521	0
0.0626823	595.521	600.523	0
0.0628461	600.523	605.525	0
0.0630101	605.525	610.527	0
0.063174	610.527	615.53	0
0.0633384	615.53	620.532	0
0.0635024	620.532	625.534	0
0.0636913	625.534	630.536	0
0.0638804	630.537	635.539	0
0.0640455	635.539	640.541	0
0.0642344	640.541	645.543	0
0.0643983	645.543	650.546	0
0.0645652	650.546	655.548	0
0.0647541	655.548	660.55	0
0.0649195	660.55	665.552	0
0.0650835	665.552	670.555	0
0.0652724	670.555	675.557	0
0.0654615	675.557	680.559	0
0.0656504	680.559	685.561	0
0.0658411	685.561	690.564	0
0.06603	690.564	695.566	0
0.0662191	695.566	700.568	0
0.066408	700.568	705.571	133.998
0.0665969	705.571	710.573	93.6424
0.0667608	710.573	715.575	133.418
0.0669499	715.575	720.577	179.487
0.0671139	720.577	725.58	0
0.0672777	725.58	730.582	0
0.0674417	730.582	735.584	0
0.0676308	735.584	740.587	155.196
0.0678197	740.587	745.589	0
0.0679836	745.589	750.591	432.059
0.0681727	750.591	755.593	0
0.0683621	755.593	760.596	0
0.0685511	760.596	765.598	0
0.06874	765.598	770.6	71.069
0.068904	770.6	775.602	0
0.0690929	775.602	780.605	0
0.0692836	780.605	785.607	159.981
0.0694727	785.607	790.609	0
0.0696379	790.609	795.612	0
0.0698268	795.612	800.614	0
0.0707128	800.614	805.616	0
0.0709016	805.616	810.618	0
0.0710905	810.618	815.621	0
0.0712545	815.621	820.623	126.009
0.0714687	820.623	825.625	0
0.0716576	825.625	830.627	183.703
0.0718488	830.627	835.63	0
0.0720429	835.63	840.632	91.4477
0.0722107	840.632	845.634	193.776
0.0723784	845.634	850.637	0
0.0725673	850.637	855.639	91.6999
0.0727315	855.639	860.641	0
0.0728953	860.641	865.643	174.573
0.0730593	865.643	870.646	417.43
0.0732235	870.646	875.648	0
0.0733875	875.648	880.65	168.096
0.0735515	880.65	885.652	0
0.0737656	885.652	890.655	0
0.0739296	890.655	895.657	0
0.0741209	895.657	900.659	106.528
0.0743123	900.659	905.662	0
0.0744763	905.662	910.664	89.2898
0.0746401	910.664	915.666	0
0.0748331	915.666	920.668	0
0.0750219	920.668	925.671	84.3251
0.0752108	925.671	930.673	226.765
0.0753753	930.673	935.675	152.446
0.0755644	935.675	940.677	336.275
0.0757532	940.677	945.68	116.634
0.0759172	945.68	950.682	149.245
0.0761061	950.682	955.684	118.441
0.0762701	955.684	960.687	82.9138
0.0764343	960.687	965.689	230.726
0.0765995	965.689	970.691	201.387
0.0767636	970.691	975.693	125.983
0.0769524	975.693	980.696	230.621
0.0771665	980.696	985.698	94.7838
0.0773305	985.698	990.7	457.44
0.0774976	990.7	995.702	193.474
0.0776652	995.702	1000.7	480.32
0.0778419	1000.7	1005.71	0
0.0780149	1005.71	1010.71	475.079
0.0781875	1010.71	1015.71	750.13
0.0783765	1015.71	1020.71	196.24
0.0785545	1020.71	1025.72	312.779
0.0787273	1025.72	1030.72	407.415
0.0789031	1030.72	1035.72	77.7999
0.0790759	1035.72	1040.72	142.365
0.0792648	1040.72	1045.73	326.21
0.0794379	1045.73	1050.73	554.871
0.0796127	1050.73	1055.73	121.977
0.0798016	1055.73	1060.73	250.934
0.0799749	1060.73	1065.73	381.61
0.0808408	1065.73	1070.74	127.068
0.0810244	1070.74	1075.74	419.962
0.0812015	1075.74	1080.74	512.435
0.0814088	380.423	385.425	0
0.0815753	385.425	390.427	0
0.0817417	390.427	395.43	0
0.0819084	395.43	400.432	0
0.0820772	400.432	405.434	0
0.0822775	405.434	410.436	0
0.0824703	410.436	415.439	0
0.0826372	415.439	420.441	125.051
0.0828012	420.441	425.443	0
0.0829657	425.443	430.446	0
0.0831296	430.446	435.448	0
0.0832939	435.448	440.45	0
0.0834579	440.45	445.452	0
0.0836468	445.452	450.455	0
0.0838152	450.455	455.457	0
0.0839792	455.457	460.459	0
0.0841533	460.459	465.461	0
0.0843168	465.461	470.464	0
0.0845083	470.464	475.466	0
0.0846749	475.466	480.468	0
0.0848437	480.468	485.471	0
0.0850375	485.471	490.473	0
0.0852052	490.473	495.475	0
0.0853735	495.475	500.477	0
0.0855397	500.477	505.48	0
0.0857057	505.48	510.482	0
0.0858697	510.482	515.484	0
0.0860588	515.484	520.486	0
0.0862477	520.486	525.489	0
0.0864367	525.489	530.491	0
0.0866256	530.491	535.493	0
0.0868145	535.493	540.496	0
0.0869785	540.496	545.498	0
0.0871428	545.498	550.5	0
0.0873569	550.5	555.502	0
0.0875459	555.502	560.505	0
0.0877372	560.505	565.507	0
0.0879057	565.507	570.509	0
0.0880947	570.509	575.511	0
0.0882625	575.511	580.514	0
0.0884515	580.514	585.516	125.933
0.0886169	585.516	590.518	0
0.0888059	590.518	595.521	0
0.0889949	595.521	600.523	0
0.0891605	600.523	605.525	0
0.0893275	605.525	610.527	0
0.0894921	610.527	615.53	0
0.0896563	615.53	620.532	172.834
0.0898221	620.532	625.534	0
0.0900111	625.534	630.536	0
0.0901999	630.537	635.539	0
0.0911079	635.539	640.541	0
0.091322	640.541	645.543	0
0.0914859	645.543	650.546	172.027
0.0916523	650.546	655.548	0
0.0918437	655.548	660.55	0
0.0920127	660.55	665.552	0
0.0921809	665.552	670.555	0
0.0923733	670.555	675.557	67.8684
0.0925661	675.557	680.559	0
0.0927555	680.559	685.561	0
0.0929445	685.561	690.564	0
0.0931345	690.564	695.566	0
0.0933236	695.566	700.568	0
0.0935125	700.568	705.571	0
0.0937015	705.571	710.573	0
0.0938653	710.573	715.575	0
0.0940544	715.575	720.577	0
0.0942183	720.577	725.58	160.561
0.0943823	725.58	730.582	0
0.0945461	730.582	735.584	0
0.0947639	735.584	740.587	0
0.0949528	740.587	745.589	151.992
0.0951192	745.589	750.591	0
0.0953107	750.591	755.593	0
0.0954997	755.593	760.596	0
0.0956924	760.596	765.598	0
0.0958813	765.598	770.6	0
0.0960455	770.6	775.602	112.613
0.0962344	775.602	780.605	188.687
0.0964233	780.605	785.607	0
0.0966123	785.607	790.609	0
0.0967783	790.609	795.612	139.593
0.0969673	795.612	800.614	0
0.0971317	800.614	805.616	0
0.0973207	805.616	810.618	0
0.0975116	810.618	815.621	0
0.097676	815.621	820.623	0
0.0978649	820.623	825.625	0
0.0980537	825.625	830.627	0
0.0982679	830.627	835.63	94.8343
0.0984569	835.63	840.632	160.166
0.0986236	840.632	845.634	498.768
0.0987928	845.634	850.637	0
0.0989865	850.637	855.639	0
0.0991509	855.639	860.641	0
0.0993187	860.641	865.643	0
0.0994899	865.643	870.646	242.491
0.099656	870.646	875.648	0
0.0998223	875.648	880.65	67.6163
0.0999863	880.65	885.652	84.7878
0.100175	885.652	890.655	213.459
0.100339	890.655	895.657	0
0.100528	895.657	900.659	0
0.100742	900.659	905.662	0
0.100906	905.662	910.664	470.013
0.10107	910.664	915.666	243.928
0.101958	915.666	920.668	0
0.102147	920.668	925.671	366.56
0.102338	925.671	930.673	107.511
0.102506	930.673	935.675	143.516
0.102695	935.675	940.677	113.03
0.102885	940.677	945.68	62.0078
0.103049	945.68	950.682	219.81
0.103263	950.682	955.684	245.692
0.103427	955.684	960.687	192.239
0.103593	960.687	965.689	356.428
0.10376	965.689	970.691	144.381
0.103926	970.691	975.693	0
0.104122	975.693	980.696	128.857
0.104311	980.696	985.698	0
