"ID108129_02","ID108129_03","ID108129_04","IDPhos_01","IDPhos_02","IDPhos_03"
0,439.342,392.114,0,120.005,240.551
475.079,192.39,200.606,0,326.31,649.669
750.13,514.04,242.844,0,0,0
196.24,275.48,639.999,0,0,362.94
312.779,324.923,97.9592,0,0,0
407.415,439.947,227.295,140.691,0,357.638
77.7999,281.882,403.656,0,0,0
142.365,277.446,121.699,0,0,176.469
326.21,268.6,327.043,0,0,0
554.871,243.222,291.887,0,135.661,194.709
121.977,451.389,382.613,0,0,0
250.934,488.334,97.0268,0,0,87.7274
381.61,0,324.898,135.863,0,130.999
127.068,180.596,932.994,0,131.886,111.24
419.962,273.338,0,0,117.818,0
