,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_3,SPQC_4,SPQC_5
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
P11169;Q8TDB8,1092.560425,782.6894531,NA,1207.412231,1221.525757,4303.630371,8404.321289,1098.825073,3476.208008,6208.65918,3726.947754,6352.060059,5444.478516,8893.669922,1300.865112,4190.256348,NA,2548.875488,6490.489746,6882.900879,NA,2511.09375,6832.848633,3305.906982,6366.071777,5170.808105,10535.125,4765.421387,5486.692871,4976.043945
P11171,NA,5642.557617,NA,9263.433594,7464.086914,19132.88281,21294.99805,5162.462891,NA,7137.979004,7743.653809,4814.195801,21134.89648,20426.37891,NA,6780.281738,9108.517578,7223.501465,18526.01758,19784.74805,NA,NA,NA,4594.436523,NA,11819.71973,13368.48828,11946.02637,11446.40723,9753.355469
P11226,63071.39063,62911.41406,60310.58984,58797.41016,56822.85547,57276.47656,57796.27344,123166.3984,118789.2031,125163.4922,119107.4922,118273.4844,120423.3594,119314.7578,38319.66016,35004.19531,35825.73828,39085.62891,37247.75,51611.44141,52397.53906,53032.78906,51462.39063,50430.46484,54329.71484,50903.27344,52231.41797,71188.96875,71052.85156,75274.82813
P11277,NA,1867.631958,2212.062256,6946.268066,2506.295166,7842.830078,10931.63574,NA,2388.196533,NA,7249.544434,6536.629395,9890.983398,12768.17871,3025.779541,2481.763428,4015.737549,9204.570313,13800.3418,12271.54004,NA,919.1768188,NA,3364.812988,3966.505615,6887.080078,10034.49219,5505.651855,6205.992188,6722.561523
P11597,72472.92188,66790.75,64351.81641,61391.29688,64030.46094,61030.375,54799.47656,43282.58203,43611.92969,41345.67578,38997.68359,39238.87891,39330.53906,32538.34961,53681.01172,45685.4375,47913.8125,45736.92188,39616.92188,30524.40625,53895.30078,47182.5,46236.30078,45787.63281,48293.30469,41466.82813,41775.25781,44337.01563,45482.3125,46324.88672
P11678,NA,NA,NA,NA,NA,NA,3382.344727,NA,NA,2470.547363,NA,3840.958252,NA,7306.620117,NA,NA,5219.755371,9392.214844,8043.031738,14084.13672,NA,NA,2464.841797,7774.989746,12382.33691,8851.542969,14327.15234,4388.339355,3973.990967,5328.135254
P11684,1925.069824,1592.078247,1994.224854,1530.659912,2319.955322,2866.851318,2752.87915,NA,1915.9646,1837.5448,2565.857422,NA,NA,1095.655029,4189.199219,5227.934082,4577.396973,4882.662598,3990.358398,5017.611816,2597.539307,2529.924316,NA,2053.350586,NA,1437.591553,NA,2526.473389,3439.759033,2396.492676
P12111,10578.25098,10208.48438,5207.269531,10737.01563,10315.39355,9427.853516,11192.11523,17433.47852,17400.64453,13975.80469,14781.31445,13097.19629,14638.68164,16622.25391,12675.12695,12420.39355,14138.64648,14912.32031,14921.23535,14196.83398,12690.35352,11254.80957,11786.5293,14531.18359,12108.07617,13322.41113,12063.72461,10066.06738,11889.26953,8860.625977
P12259,73822.04688,73214.09375,72778.83594,67761.39063,71366.44531,68981.60156,67711.125,65023.34375,65398.18359,65639.13281,66118.39844,63116.08984,60328.42969,61838.94922,66570.66406,64928.39453,63727.16406,64709.30469,65956.35938,65991.30469,74349.67188,74745.41406,75258.11719,73279.54688,73731.61719,69571.85156,71051.0625,66758.55469,66869.60156,66749.53906
P12318;P31995,NA,NA,NA,5928.155762,7227.379395,NA,NA,NA,7452.472168,10183.02832,8424.359375,7417.902344,9721.59375,7626.705078,7283.642578,12617.97754,10597.78027,NA,8644.963867,10811.30469,NA,NA,NA,NA,NA,NA,NA,4459.398926,NA,4663.462402
P12724,NA,7.835736275,880.7844849,1342.050415,1275.631104,NA,NA,9.035692215,4764.127441,10168.21289,7716.115234,14450.43945,13679.11523,15593.49609,9466.766602,7386.677734,13773.61523,17768.63086,12667.87109,20685.85938,NA,7923.356445,7116.188477,15951.36328,19015.24414,19297.11133,24922.50977,8941.476563,10491.4082,8974.827148
P12814,4602.607422,4563.942871,3792.498291,6309.570801,3093.952393,5711.695313,13053.19434,7904.424316,8251.737305,11346.06836,10818.62109,10126.07813,12298.34766,13829.04102,7461.833496,6816.089355,5608.837891,4672.400391,8382.671875,6341.612793,11030.58496,7767.336914,12383.71191,5395.641113,8654.728516,8892.716797,10366.31055,8312.486328,9021.420898,7497.643066
P12830,8496.175781,7435.497559,8057.89502,8093.398438,6834.946289,6234.220215,7401.917969,5922.984863,7681.996094,9397.644531,9837.485352,9382.84375,9594.178711,8313.170898,9417.313477,11772.97168,12293.45801,11980.29297,12216.32227,13577.625,15525.97266,16413.00391,14727.98047,15591.4082,13942.79883,16258.98145,15518.33691,13350.41602,11473.74707,11331.37109
P12955,1624.927612,3101.632813,2756.587891,2523.116699,1372.958252,1386.151733,NA,5186.509277,5015.859863,3152.090088,4283.833984,4724.333008,3821.633545,4456.736816,4957.133789,4283.208984,4836.921387,5312.38623,3903.720703,NA,4683.084961,6918.496582,4351.807617,5688.529785,7234.489258,4883.581055,4243.293945,4354.323242,5040.972656,3754.93042
P13224,5215.050293,6963.11377,5053.668945,5701.769531,NA,NA,13349.7627,NA,NA,11327.50391,10829.80273,10285.08887,NA,8236.250977,10892.9707,8004.005859,NA,6536.964355,NA,NA,13120.62012,10180.8877,19283.24414,12344.8623,11410.57227,12957.89355,20362.36523,NA,7041.338867,9763.287109
P13591,18380.34375,18181.20508,19407.79297,17702.54297,16705.31641,16457.25977,15598.52734,24951.23633,24293.08398,23427.08203,24437.04883,24718.10352,20999.03711,21999.39453,17533.24805,18566.54297,17972.51367,18046.4668,16369.41797,18119.10742,16910.19727,16723.32227,16811.50195,16598.48828,16245.50684,17073.52344,15844.68555,19521.84766,18139.19141,15882.12988
P13598,6841.864746,7638.657227,8620.461914,6227.338379,8457.662109,6133.850586,4364.121582,12353.94434,12183.84375,14978.23438,13521.86914,14183.71191,12225.35645,14691.24023,13160.18457,13704.57129,14864.49805,13043.79297,12011.10254,11494.76855,13286.33789,12700.92578,12449.77832,13921.03516,13876.57129,12870.63574,12757.85352,10676.36914,13188.53223,10712.36035
P13645,25438.07422,43177.93359,4801.007324,3077.435547,2628.727539,10524.24902,49132.23828,66584.53125,41900.07422,43990.25,20247.63281,2935.296875,65712.84375,6837.687012,32528.24219,3281.759033,842.6837158,3530.334473,2299.333008,3164.929932,7776.487793,37046.92578,NA,1737.131714,7255.633301,23865.73047,59039.14453,6269.003418,6559.375488,6378.995605
P13671,528414.1875,508101.5,506541.5,484473.6875,514097.6875,478798.6875,451242.4375,568790.8125,555968.5,557614,541243.8125,527343.125,532088.125,530131.3125,428948.5313,428042.25,416194.3438,414728.75,401288.0938,387881.1875,511228.7188,492330,484229.1875,483397.0313,484469.7813,481292.6563,472616.6563,438491.0313,465446.4375,451645.5938
P13716,1368.597656,1686.568726,2606.599854,3901.069824,3075.655273,5690.271973,6064.493164,1242.021729,1758.66748,1727.51709,3270.851318,3809.644531,8380.171875,7495.934082,325.9429321,1009.746704,3118.019287,4054.732178,8222.100586,8942.610352,158.8868561,894.9815063,1524.269775,2253.183838,1245.953613,5902.351074,4732.324219,4172.780273,3102.964844,3530.147461
P13727,2074.279541,2072.867432,NA,1467.345215,NA,NA,NA,7496.0625,8746.928711,7282.601563,6495.18457,9016.673828,8165.627441,8098.604492,3960.23584,4135.725098,4742.367676,4574.664551,2824.017578,NA,735.0233154,2898.396729,4120.279785,6430.336914,6407.031738,3269.836426,3842.804688,NA,383.5706482,919.6261597
P13796,610721.9375,566048,585952,667766.5625,616450.5625,814335.875,811042.6875,561377.8125,524295.25,520505.0313,623562.9375,592177.5625,896723.25,714534.5625,612504.625,583973.8125,654226.5625,610154.4375,762344.5625,708123.6875,606788.4375,589960.3125,620036.875,641163.125,648440.0625,699150.25,803805.1875,662775.6875,657709.9375,639684.75
P13987,2361.839355,3449.208496,2861.664307,6794.327148,6215.936035,28383.51563,21027.13672,2633.303955,3815.602783,4129.328125,8337.708984,7068.089355,29153.28711,27385.50977,3142.646729,4549.872559,8429.488281,8824.791992,26651.05664,15348.68262,1672.414429,2843.713867,3472.207031,7023.264648,6513.180176,24551.13867,20865.41211,10651.37012,9732.166992,9264.770508
P14151,50310.70703,51313.15625,50991.37109,52372.80078,52110.97266,52181.26953,55552.55859,62097.73438,60290.82813,62433.63672,61123.94922,62909.73047,62928.55859,64657.4375,50816.86719,50856.45703,52246.97656,51757.49609,56698.20703,61799.88281,52624.70703,51526.63281,54055.30469,55193.91406,51597.11328,53022.06641,55034.67188,56749.02734,56957.77734,56963.21094
P14174,4012.136963,6640.200195,8300.166992,13774.82324,11591.48242,23399.97852,11625.24902,5962.955566,8409.751953,10097.54395,14775.17676,19000.29102,29612.56445,34525.50781,8917.114258,9527.225586,10032.7959,13972.1543,28952.8418,32174.42578,NA,11655.35645,16471.83398,13804.15234,21705.54102,36175.86328,34606.79688,10669.55469,14544.93262,7402.390625
P14543,4420.480957,9876.479492,8308.867188,7438.41748,8004.575195,NA,NA,12901.1416,9670.837891,12592.91113,10795.37988,10965.60547,NA,NA,7041.583496,6751.810547,9594.907227,NA,NA,NA,7018.663086,7932.501953,9608.504883,9541.02832,9566.588867,NA,NA,NA,9667.445313,NA
P14618,12303.89648,16639.95117,18638.78516,22441.18555,16605.87695,24773.66211,30421.58203,23367.72266,24077.27539,28670.17969,26521.39063,25344.3418,34479.94141,31773.43359,25252.37891,27261.18555,23931.23242,20389.36328,24547.68945,24964.24023,22998.70117,27132.23047,35027.64453,24241.48047,29713.7793,29337.40039,37829.85156,22523.47266,25894.89258,23971.82422
P14625,13379.78809,12785.03711,13413.69629,13007.49316,11610.11816,13518.76074,14296.22656,10032.15039,9141.365234,10688.42285,9866.666992,9827.396484,8797.760742,11867.19629,11998.86523,12561.6582,11624.46973,12006.0498,13960.00781,19137.40039,10429.93066,9521.472656,10675.86914,9772.670898,8023.560059,8300.018555,10472.40039,13158.7002,11917.36816,10953.7334
P14780,13016.48145,25821.52344,35947.49609,28109.45703,33830.28906,34146.90234,34322.58984,7889.141113,30820.93359,53612.88672,31398.4375,54629.23828,30131.04492,56730.38281,24692.25195,34557.52344,26904.84961,35764.11719,27711.27148,35225.04297,8304.398438,32122.16797,57123.99219,39912.17188,59957.48047,42732.6875,59750.8125,34102.32031,34607.33203,32357.27734
P15144,28063.85156,32950.52734,33097.54297,27403.88867,33296.44922,27538.97852,26302.81445,59526.66016,54374.63672,46714.25781,53381.29297,53606.76172,60396.48047,62565.36328,35355.64453,37129.58984,42011.23438,38355.91406,49330.81641,40147.28906,26651.15039,30240.96484,29930.43555,25865.67773,27144.25781,34157.18359,33777.19141,39575.11328,38244.09375,42936.85547
P15151,9879.748047,10046.69336,10036.55469,8760.254883,9156.356445,11858.94238,10968.8457,14325.00488,10750.87988,13923.25781,16138.97363,13825.50488,19066.49609,14863.58984,16435.36328,12249.05566,16170.12207,14819.36328,19644.31055,19691.78516,13331.41992,14562.03906,13453.16406,15849.46289,13018.26367,14508.99609,15083.3457,12084.57129,14331.38867,14984.45508
P15153,5373.452148,2530.530518,4232.928711,8598.630859,22628.84766,9488.542969,15077.98926,NA,4607.89209,4599.812988,8533.756836,NA,18791.61523,9538.827148,NA,4248.026855,7686.225586,NA,10053.27246,7765.253906,NA,6924.737793,9148.230469,9003.598633,12881.55176,11799.51074,18980.53125,4555.886719,8620.162109,9976.080078
P15169,122684.3281,121077.8438,115854.2891,113932.7031,117306.0859,116822.5703,118558.6328,119280.7578,118371.8594,117294.0547,110314.0547,112322.3906,115462.3828,113916.75,110797.6797,106840.8594,108502.0547,106034.6563,113339.25,112628.2188,129462.9453,130177.7578,129552.7109,126723.7578,125635.4141,126395.125,125808.5078,116717.4141,115649.0938,117326.6406
P15259;P18669;Q8N0Y7,8478.317383,9245.759766,11601.21191,13740.92871,12806.85547,18793.1543,20107.56641,10480.5791,11419.14453,10976.30469,14202.33398,14083.95996,21840.38086,20317.72266,11244.02148,12955.17871,13456.44824,12318.65918,20227.84375,17623.98828,10296.53418,11489.79883,15569.44531,12306.9375,15754.95508,22953.82422,23206.56641,12751.20215,10707.98242,15708.17773
P15291,6133.338379,5507.314941,6711.498047,5929.333008,6621.662598,6949.65625,6671.700195,7301.666504,6626.380859,6889.572266,7480.492188,7275.875,7564.118164,8616.868164,7304.603516,7060.836426,7698.191406,7201.279297,10821.72656,8312.863281,7039.538086,6422.39502,6384.361328,7184.068359,7679.630859,6803.354004,7635.991211,7869.70459,7249.616699,8737.362305
P15814,2215145.75,2176611.5,2120631,2094957,2090948.125,2034795.75,2172904,2181464.75,2187503,2161939.25,2194021,2132468.5,2141335.75,2140757.5,1618855.375,1543247,1526760.875,1599228.25,1633232.125,1707098.875,1375824.125,1395675.125,1312391.25,1434760.125,1402007,1374734.75,1334574.125,1912126.5,1827081.125,1819255.25
P16035,7406.922852,3379.585693,4171.805664,2615.574463,2657.602783,3514.462891,NA,6104.256348,6246.002441,7266.741699,6540.316895,7273.114746,2642.306641,2485.284912,5456.956055,5427.672852,3652.077881,2662.511719,NA,386.8561707,5807.512207,4538.41748,5511.23584,5078.931152,5272.280273,4465.208008,425.8029175,623.4243774,2306.594482,418.7513733
P16070,14430.76465,13078.94727,10157.05762,13617.05859,14744.07324,23091.75781,22028.57227,16290.8291,18767.58594,20140.84766,12012.7334,22914.31055,27629.63672,24698.71484,23491.82422,25443.56641,25712.03125,23609.66016,32435.71094,30498.13281,15598.2959,15423.14746,16100.2793,11790.97852,21350.35742,25217.63672,26337.51172,18971.44141,24388.3457,25118.12305
P16157,22974.40625,18498.14648,14630.37012,45583.60938,15854.09961,238299,237947.7656,NA,20056.58203,8001.667969,36790.78125,32132.01367,273896.625,252476.8594,12511.78613,15367.04004,34156.25781,52059.13281,268596.7188,217147.6094,NA,16063.71582,17896.24023,16345.87695,21190.38672,185466.6094,166569.9531,82322.10156,85615.27344,84252.40625
P16401,173190.75,167940.3281,199183.4531,165359.1094,159257.625,249044.9219,262931.25,94316.74219,185193.7031,214958.1875,168859.4531,112631.4375,314865.5,245022.7188,124873.1875,55960.92969,161772.5469,133061.8438,230477.875,249486.4531,150380.9219,102255.0078,117982.3203,159510.5313,151969.4375,182835.2656,230886.1094,176633.3281,199566.5,176825.3281
P16452,NA,NA,NA,5254.09375,1299.924194,32175.64453,34431.71484,NA,NA,991.3032837,4461.835938,2876.823975,39320.8125,36507.89453,NA,NA,3667.706543,5033.105957,39236.85938,31251.25,NA,NA,NA,620.0861816,NA,27789.06836,22706.58789,10867.67871,12200.91211,11735.09473
P16671,6621.688965,11108.57715,14130.05273,13595.20605,13362.96582,10239.92285,16087.98145,9630.043945,13325.21875,15191.66602,11572.06055,14654.4873,10143.87012,14420.83496,14342.51465,16533.07422,14441.66797,12995.78711,9682.025391,13125.75977,9664.883789,18371.25391,24387.41016,17017.59375,21409.62109,14100.12891,17768.74609,13515.04102,14428.68164,15470.36816
P17813,3350.806641,5301.95752,6830.150879,NA,6678.362305,6260.910156,NA,8400.729492,7683.59668,8423.825195,9524.673828,9428.085938,8882.047852,8094.32373,10327.77344,9663.585938,8581.771484,8732.005859,10077.53027,NA,5953.895508,6065.804688,6752.291016,6696.937012,6104.556641,NA,NA,8330.962891,8013.023438,NA
P17936,109934.0156,114781.1484,113092.1641,110358.1797,111538.3047,108806.7656,98681.17969,107417.5078,102952.2656,102246.625,102588.8828,98339.22656,92759.35938,102390.9297,89137.55469,87580.59375,79498.42969,84595.21094,77764.53125,85855.88281,100020.0625,85588.99219,96909.27344,99324.91406,97941.75,83177.41406,90096.17188,80991.89063,86044.17188,81294.82031
P18065,14192.36328,13585.02637,10529.30566,11184.53125,10865.26465,12398.46973,11257.64551,22872.01172,21584.05859,21291.84375,20471.19922,20134.90234,22879.03125,19959.2793,26552.10352,26637.77148,27201.74023,25698.73828,24432.16406,25612.28125,27181.375,27319.7168,28918.57422,27819.16016,27928.66016,25427.58789,27573.67188,22235.81836,19611.23828,20674.56055
P18206,12982.73047,14910.54492,16881.59766,15874.39844,14163.14844,15855.19141,23189.36328,20779.97852,22907.33789,30510.78516,24340.89063,25202.97461,23279.18555,29774.47266,22781.19727,24926.54883,18460.13281,16417.28125,20787.63867,26341.17969,18347.24805,24756.16797,33503.92578,18777.41016,24724.03125,21794.39063,29312.89648,23032.69336,22290.41797,23397.49609
P18428,58736.9375,57467.39063,55642.35938,58128.01953,55863.20703,54058.53906,51824.98047,38427.90234,40253.80469,37470.66016,37611.64844,36936.42969,37216.37109,34010.94922,39238.67188,36844.14063,38069.16797,37955.71484,36131.75781,33939.17188,35110.375,34389.28516,34146.99609,33586.5,33977.99609,30429.50781,28555.83789,38437.42188,40606.08203,38907.64063
P18577;Q02161,NA,NA,NA,NA,NA,17456.80273,17538.95117,NA,NA,NA,NA,NA,14107.83789,17429.78711,NA,NA,2629.851563,NA,24373.82422,17618.91797,NA,NA,NA,NA,NA,13799.9502,8928.0625,4132.792969,7240.217285,5874.400879
P19021,4527.060059,3246.848145,3345.53418,4209.844238,2652.260498,2500.406494,3715.17627,3883.361084,5522.272949,3882.587402,3861.196533,2046.34668,5665.715332,5272.734375,3310.117432,5470.758301,4653.76416,6077.900879,3759.609375,5732.40332,4972.535645,5960.695313,4224.255371,3772.532471,4866.447266,4316.392578,2157.047852,5420.333008,7059.666016,4365.052734
P19320,21452.62891,20259.14258,20710.85156,18705.27344,19055.01172,18981.65039,16522.36523,20535.47461,20430.00195,19689.48828,19773.30273,20025.76953,18677.80469,20357.07422,24937.53906,25396.8418,24346.25391,24259.79297,21348.06055,21310.15625,25637.29102,25351.49023,24740.94336,24025.48242,24487.62109,22356.59766,22155.25,20121.23047,20281.01172,18264.49609
P19652,2200192.75,2180136.25,2216248.25,2197981.25,2233318.75,2263054.5,2355333.75,1695217.5,1684459.375,1648122.625,1666352.125,1662307.125,1761554.875,1746004.375,1854293.5,1901632.75,1875496.5,1930088.875,2120877.75,2231723.25,1852535.375,1811303.625,1814000.125,1903488.125,1822795.875,1738101.75,1870736.375,2010715.875,2056939.875,2018870.5
P19823,1406186.25,1394384.5,1386904,1383311.25,1352742.875,1387145.625,1439572.625,1494743.625,1521533.75,1487217.875,1517979.625,1473110.625,1529092,1480128.75,1445917.125,1451686.875,1430468.625,1426904.375,1534396.625,1594224.125,1507967.125,1499536.375,1468667.375,1508285.125,1474915.375,1437166.75,1441338.75,1453236.125,1441126.625,1460445.125
P19827,1688223.75,1695130.875,1694964.5,1653393.875,1655547.625,1622784.125,1593317,1644669,1620096,1597648.625,1638254.25,1566328.75,1561637.125,1531096,1662940.625,1702613.625,1653927.125,1673818.375,1700750.75,1672715.625,1752268.5,1732063,1722514.625,1742951.375,1714510.75,1649488.25,1633974.625,1588277.125,1581724.25,1565750.125
P19875,NA,NA,NA,619.7176514,1814.768188,NA,3372.753662,NA,NA,525.2536621,NA,1529.418091,NA,3075.95752,NA,NA,NA,1877.8479,NA,4468.087402,NA,NA,1699.547241,6220.333008,9687.90918,3608.6875,17648.71484,2046.993286,1665.016479,3101.080322
P19957,NA,NA,NA,NA,NA,NA,1525.344971,NA,NA,NA,NA,3022.346924,NA,6339.590332,NA,NA,NA,1508.160645,NA,NA,NA,NA,NA,NA,770.8575439,NA,4582.23291,NA,NA,NA
P20160,9365.813477,29600.54102,29719.68359,36495.23047,33954.79297,45479,52399.73828,5363.407227,19788.96094,20261.16602,25514.38086,31199.91016,56800.00781,42867.02344,21213.41016,21750.01563,24523.5957,28743.07227,30018.38477,36175.04688,3579.456299,22999.66211,35877.09375,27925.8457,40463.73828,37636.96484,60233.82031,30781.6875,33403.32031,35966.93359
P20742,242284.9063,241848.1094,238400.7031,226432.375,231873.8906,224891.9063,224063.2344,14662.83691,13715.27148,11735.69336,12136.51953,11435.78711,10767.92969,11643.08887,22983.4668,21994.94141,21421.68945,22569.28125,22994.56641,20965.96094,271074.0313,264596.75,256529.7031,258307.7969,257049.2969,246807.2188,240321.3125,148667.5156,149588.75,147122.2656
P20851,242639.875,250056.7344,252114.9063,254679.9688,240741.4844,239196.8281,232715.3281,211120.5,200127.3594,191564.3281,193964.9219,192411,190786.6719,197089.7969,188128.7188,181394.4375,184202.7969,189506.0313,186797.7813,170256.9531,218849.6406,210304.2031,208244.2656,214697.8125,212638,211466.6875,203688.4063,215315.1875,208441,211503.5625
P21333,14852.45508,17625.71289,15816.26367,21775.47852,17493.08984,26847.01953,34978.67578,25657.45703,35825.69922,40902.89063,37193.45703,40774.22656,36595.66797,49824.03125,25067.06445,29085.81445,24475.67578,24584.1543,26903.38086,34313.42188,25746.9375,30070.53906,39185.29688,29753.87695,35362.5625,37638.98047,44569.77344,31007.89453,30709.37109,31073.85547
P21926,1435.742554,1584.351318,2881.233887,6458.64502,2544.095459,3406.245361,4131.350098,5101.910645,9314.463867,10831.68359,7574.147949,8914.356445,3702.732666,8414.600586,4222.796387,5079.694336,3306.628906,294.5204163,NA,NA,2270.074219,10187.99512,15371.60449,11774.47656,12081.27246,8070.999023,11301.03809,2115.696289,2948.165771,1421.211182
P22061,NA,2003.544922,1746.756226,4693.72998,2553.058838,7214.624512,7134.753418,2581.66626,3383.768311,3732.241943,5479.250488,6261.942383,11380.95215,10365.7832,2790.735352,3664.143311,5158.69043,6363.662109,8908.384766,10883.04297,1872.432007,2396.724121,4371.178223,5481.640137,4343.580078,7543.251465,9457.772461,5099.293945,5474.736328,5483.196777
P22105,19350.83984,17662.00977,18237.42188,18642.98828,17035.30078,17671.24414,23374.79492,26759.5,28431.74219,26368.55664,22387.54883,27132.44922,24154.89063,22761.23438,21732.27734,23879.08203,22534.07227,21360.60742,25792.29883,25298.10938,20623.49219,20393.00586,22999.83203,19596.39648,23718.00195,21879.11523,18415.59766,22573.68359,23508.97461,23063.0293
P22352,53291.76953,63066.86328,66308.73438,77161.67188,78815.90625,104413.2813,142994.7188,53821.47656,58067.96094,57039.08984,64759.82813,63336.61719,90377.4375,103983.9063,65580.3125,64100.26953,73149.61719,87196.625,130921.2188,177320.8125,57965.70703,55276.07031,55088.25,61023.37109,61144.67969,76105.41406,92084.75,158199.6875,152408.6563,151105.4688
P22392,1719.415161,2485.986084,3611.864258,5944.72998,1683.506714,11876.45508,13428.66699,236.3273926,4176.501465,5260.524902,7061.26709,7582.710449,14140.02832,14411.93848,6042.471191,4418.150391,6921.214355,7760.894043,15352.22461,15525.33691,2991.878174,2313.617188,6121.051758,4716.401855,6256.970703,7628.001953,10602,7014.467773,6428.035645,4790.911133
P22692,11533.46777,11413.70801,11776.95898,9705.265625,10966.78418,8149.647949,9608.302734,13017.4668,13804.64355,15197.34473,15174.89648,12851.98926,10273.24121,8864.824219,10335.32129,9995.21875,13479.06543,10076.53418,7774.541504,9964.461914,12518.36035,12826.59473,12382.59863,11766.02832,12525.74805,12040.50293,10250.30762,8840.380859,8082.173828,9931.273438
P22736,NA,NA,NA,NA,NA,NA,NA,23202.41797,27298.24219,26372.23633,26565.9043,25784.53125,25646.33789,27693.94336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7127.416504,7555.497559,6751.621094
P22792,419207.2188,412649.9063,425224.9375,407392.375,419431.5938,408915.7813,397237.6875,422492.8125,426816.9063,409349.5,424662.7813,407570.5625,414096.4375,421062,342879.3438,347547.5313,338300.2188,351543.6875,368886.7188,347495.25,491429.1875,481910.0625,466096.0625,473223.2188,478372,456524.9063,471559.9688,399516.5625,430729.9375,432703.75
P22891,41722.22656,41595.88672,38643.09375,30013.13477,33656.51563,31235.37305,19832.87891,52244.74609,45526.21094,46142.92188,42694.09375,42564.94141,35975.84766,28553.51953,28411.44727,28273.35938,27501.67773,24277.72656,18216.39453,11243.42188,34645.51172,29040.24414,31937.68359,28807.67773,29759.18555,21095.33203,15699.45898,23421.44141,18275.125,20044.93555
P23083,323758.6875,285713.3438,336928.1563,302539.8438,301408.9688,297977.0313,339341,507053.1563,492033.7813,503428.9063,518072.7188,492229.2813,521291.3125,516706.4688,480709.625,465825.25,484802.75,462187.75,412463.3438,332983.3125,359862.5,344608.3438,380626.125,334183.3125,385716.5313,366561.0313,348408.6563,333016.875,358068.4063,341421.0625
P23142,231761.125,224784.0938,219947.5938,210894.1406,217358.8125,182776.3594,148222.5625,274834.5625,276029.25,268779.9063,266271.4688,260339.25,226824.0938,220797.5781,252339.8281,241487.6875,233198.4219,232998.8125,178859.2031,128909.1875,239338.0781,240927.7344,230031.6875,228149.3438,234979.2656,206390.75,198712.2656,180855.1719,176355.4375,166029.1563
P23470,10459.68164,12857.49707,8910.40918,9493.351563,9519.572266,9783.657227,9323.367188,15483.24316,15719.39648,15030.02734,15916.33301,14057.54297,10761.66113,14562.01465,13293.97656,13906.44141,13725.25879,11750.26074,11905.68652,13564.18164,12488.17285,13582.29004,8531.166992,10246.83496,11574.56445,10074.9043,9961.951172,11864.70313,13173.50195,12320.91797
P23528,7364.681152,13906.13965,8072.823242,15693.83887,13627.10645,26023.75195,29421.32031,11789.61035,23750.47852,25454.73633,30349.73828,38654.24609,45436.23047,43299.83984,15578.08789,19164.46875,20636.4707,21867.43359,26759.48438,41839.66797,11293.32031,21408.61914,28147.03516,23621.50195,30561.55859,34855.42969,49419.125,21379.30664,21384.16992,23486.15234
P24158,21241.80078,42600.83594,45598.12891,47072.1875,48589.83203,53012.65234,60376.62109,12955.12598,35987.40625,41126.64453,39122.44141,46475.30469,62774.93359,52099.51953,30509.58008,32513.33594,33479.01953,36773.01563,39852.64844,42167.59375,9356.617188,35144.90234,49633.23438,39238.14453,55387.84375,47548.11719,66321.09375,44730.04297,43943.42188,47483.17969
P24592,16807.16211,15865.29883,17078.16602,13805.14258,10948.46582,12435.93945,17216.88672,21184.11914,22490.03906,20434.33789,22138.95898,22330.01758,19933.97852,21729.74609,18517.56641,23256.82617,19090.6543,21319.14063,19158.66797,16099.60352,19670.48828,23101.5,20864.44531,21102.70508,20691.47461,21363.53125,16096.89844,13214.24805,13105.71387,16359.70117
P24593,8196.813477,7239.451172,7393.355469,5663.748047,5839.700684,2464.80249,3912.41333,11440.05273,10212.9707,10922.45313,9884.494141,8761.061523,5983.645996,6142.849609,8191.478027,7817.472168,6498.493652,6982.311523,3884.373047,6323.359375,9342.652344,8892.580078,7472.833496,6081.57959,6653.891113,3282.035889,3602.300781,5972.258789,5666.192871,5778.831543
P25311,1524194.5,1501106.75,1499456.5,1510524.375,1513451.5,1489720.375,1525400.375,1472448.875,1446980.125,1427485.75,1435745.25,1401654.25,1426157.875,1414327.625,1648195.25,1647467.125,1619166.625,1635014.625,1734936.75,1794703.625,1506513.625,1485920.625,1470881.5,1473939.875,1468444.375,1434854.625,1448683.625,1538565,1528318.625,1480565.875
