,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_3,SPQC_4,SPQC_5
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
P00441,3477.134766,4564.504883,7192.645508,14470.59082,9229.575195,18080.96094,18891.60938,3898.523193,9379.790039,9013.72168,12787.43164,14497.30957,22005.29688,22656.82422,7360.338379,9841.449219,13733.86914,16240.82813,23372.23438,25483.2793,8131.29248,8440.551758,12050.62891,11770.36816,13461.87207,20114.5625,22661.25391,12576.92383,13460.92578,12811.60449
P00450,3220729,3217246,3255536.5,3231062.75,3245579.25,3313480.25,3430752.5,3267092.5,3285619,3271544,3292283,3249966.5,3417484.25,3412141.5,3236041,3200426.25,3217708.75,3228129,3445024.5,3638338.25,3321355.25,3334833.5,3299328.75,3345320.75,3292727.25,3378854,3482548.75,3331139.75,3349080.75,3365772
P00488,63421.10156,61265.40625,58022,55289.72266,55459.84766,53968.89844,54386.10156,82341.32813,80362.08594,85003.21875,81525.00781,80538.74219,67028.04688,74136.57813,98959.4375,97549.11719,91437.4375,87522.4375,91376.1875,95612.30469,102670.2109,101417.7891,103539.3281,102301.9297,96459.22656,92398.53125,87473,73127.71875,74365.73438,74321.25781
P00491,NA,15357.16602,NA,17274.27734,13606.97461,19403.36719,19976.56836,NA,NA,12149.72363,12500.10938,NA,20951.11523,18985.36914,12223.24609,10654.75879,12119.93066,14868.20117,20049.73633,19257.01367,12177.83203,14176.67285,16149.00977,17683.80664,17823.41211,21085.78125,23108.93945,13454.55078,17417.98047,18296.30469
P00492,NA,965.4647217,1088.547119,1552.113281,936.611084,2255.80249,3063.179932,NA,1368.626221,NA,545.522522,1162.617798,3577.958008,4288.322266,135.9214783,1260.528076,1586.564331,2204.09668,4776.431152,6973.27002,1024.485596,504.2503357,1623.097412,1325.316162,1157.977295,1858.688721,2213.02124,2129.150146,2518.817871,1554.975342
P00558,4035.067871,6855.925781,8665.358398,15984.43555,10924.58301,23598.75781,26210.72266,7610.199707,10199.82422,11286.95605,16922.74023,19659.98438,32386.88672,31186.94531,12154.125,11662.60059,17365.78125,18032.18945,28392.44531,29298.40039,8390.512695,10793.48047,14586.56934,16757.33203,18185.73047,26449.38281,30643.90039,18263.1875,16055.32031,16121.85742
P00734,2344008,2343283,2351162.25,2273849.75,2315966.75,2220762.25,2165373.75,2398850,2381937.75,2332592.25,2334355.5,2291077.75,2180948.5,2097834.5,2287882.75,2255439.75,2210749,2189197,2104527.25,1937899.625,2279675.5,2209672.25,2203134.25,2217365.25,2201425.75,2049197.875,1947848.75,2181217.75,2152681.25,2172686.25
P00736,246067.2813,245693.4688,242139.1406,230726.6406,238312.7031,226120.6875,215863.2344,156822.2656,157089.8594,149068.6563,155316.2344,145206.8594,144373.6875,143204.9844,227589.7969,229192.7969,224526.7656,220924.9063,204032.375,177240.9063,254799,253200.2188,253031.5625,250135.0938,245530.7969,243673.1719,242331.9375,199424.7188,200167.875,199213.5938
P00738,15102911,15385605,15320091,15060449,15222311,14845424,15036844,18848216,18554416,18549068,18411008,18291098,18323450,18273428,21765622,21617334,21452908,21559354,21557202,21571666,23734464,23473366,23242334,23388232,23589928,23110490,23341016,19869252,19511786,19331664
P00739,730089.9375,724429.875,737369.375,721929.3125,706953.3125,790426.5,812433.5625,799568.125,778547,771392.25,783101.0625,784979.625,821901.375,837630.4375,694232.8125,687952.0625,710317.75,715307.8125,727402.75,691531.3125,1069372.375,1045297.313,1037579.625,1063938.125,1044675.125,1102758.875,1059551.625,856816,828168,840304.125
