,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_0h,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_1,SPQC_2,SPQC_3
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
P07384,122788.7578,136819.1875,129011.7891,129470.5781,125645.2031,129653.0625,133125.0625,163117.25,172944.8438,165445.625,154044.875,154805.7188,162483.7656,147609.2656,132610.8281,129399.1953,131630.4531,127870.7969,114190.6172,136254.2031,120962.9297,140161.8438,134743.2031,133727.5156,141018.1406,135404.75,150606.9688,122815.5625,134538.75,138135.1719,138909.3125
P07437,12781.92188,15288.30859,15801.19043,15564.06738,14030.21582,15586.09766,12745.86328,14051.68164,9934.088867,16576.9043,14010.42383,14791.04102,11297.61719,13272.93262,12796.66113,15808.26367,17101.37695,14449.7832,11851.98242,10981.45117,9778.662109,13077.93945,15735.11035,15244.72363,13561.25977,12856.52051,11928.22949,10251.98535,14263.5752,12959.27539,15816.10156
P07451,382908.1875,395227.8125,390419.0625,377396.0938,373870.4375,375985.5625,371318.2188,478756.9063,517856.4063,469300.1875,443579.9688,456551.8438,466724.0313,460229.3125,707016.5,678380.3125,709058.9375,708091.125,706244.3125,659079.25,679782.5625,327229.6875,321551.1563,310225.8438,312191.25,323554.125,331269.3125,305275.9688,452889.0938,456578.0313,443956.7813
P07477,545.8520508,NA,2502.708008,NA,NA,NA,NA,NA,NA,NA,1236.804565,NA,NA,6464.188477,NA,80.00518036,NA,2255.684814,NA,3840.633057,4258.752441,7035.733398,796.8760986,NA,NA,6360.313965,5829.310547,1343.464844,NA,2019.619263,2651.967285
P07737,98373.375,144212.4063,134156.625,137043.3438,124370.4844,121386.0938,124330.4141,151290.7656,205169.125,201215.7656,185784.8906,190991.4375,155052.7969,175964.5156,90044.11719,137085.2656,134662.0781,120407.7344,109295.3125,117611.1016,122018.1797,157067.3594,200597.8594,226060.8281,184179.5313,186282.6719,165580.4531,187438.375,160079.5,154043.8125,150896.3125
P07738,1379485.625,1419694.5,1390591,1367876.125,1377097.5,1406531.875,1382653.875,1266861,1291041.625,1294137.5,1233301.5,1275293.25,1289954.125,1294237.375,1384698.875,1387700,1386849.125,1367684.25,1350893.5,1329148,1323994,1438765,1461301.875,1396563.875,1394421.375,1431161.25,1484903.625,1425443.25,1319930.5,1320373.75,1369155.875
P07741,72045.57031,65773.39063,69269.4375,60335.97266,66449.27344,62926.50391,64221.01172,72124.89063,80913.5,69843.91406,65316.11719,74483.10938,68740.15625,72186.09375,80190.57813,73874.60156,77481.89063,73260.92969,74802.46875,62898.55469,64902.24609,86077.49219,82320.14844,81333.03125,80952.33594,81777.82813,78624.59375,69894.1875,70984.00781,71599.95313,67436.84375
P07900,128775.6016,139366.8438,135991.1563,131330.6719,126033.3125,133071.4219,131714.8594,165287.625,171540.2969,168117.5156,164472.5469,168342.5938,168457.3281,164005.2031,151641.875,154469.6563,157203.5625,160231.1563,157113.7969,152551.7188,146770.5469,123246.3672,123316.5938,121219.25,117749.1797,125740.8203,123203.1484,118593.6797,140251.3438,141155.0938,142868.2813
P07954,59104.03516,59913.66016,61089.11328,59325.62109,58069.49609,57690.07422,60472.55469,49422.91797,51560.34766,49158.61328,49116.08984,50023.74219,50592.93359,49154.46484,68695.27344,65872.44531,66799.53125,69048.55469,67148.48438,65625.98438,62830.43359,54612.8125,52554.44922,51834.8125,53124.32813,53987.13281,56211.1875,52973.00781,53391.25781,55500.46094,58727.28125
P07996,43572.71094,85245.39844,83081.03906,80448.63281,75776.13281,73155.42188,68721.61719,92636.71875,150616.5313,149197.9063,131990.5156,139109.2656,98700.90625,127811.1406,42436.15234,81009.40625,81461.85156,67508.76563,60973.89063,66148.13281,77869.22656,76985.07813,130413.8672,147713.1719,106962.7266,118309.6172,92576.53125,124268.625,93541.375,95224.66406,96103.61719
P08133,3852.374512,5488.21875,5263.982422,5560.578613,4586.802734,3452.202881,3453.908203,7759.594238,11552.30469,8487.793945,8310.75,8253.34375,6750.230957,7262.44873,3097.658203,3602.204102,3111.238281,4057.083496,2596.863037,4090.520264,NA,7091.670898,8254.693359,8568.319336,9897.824219,9554.621094,9250.740234,8142.90332,7542.449219,6643.792969,6212.710449
P08185,222132.0938,248577.2188,191949.6875,199944.1875,210652.6875,189945.375,211829.0469,169466.1406,206779.7656,172013.1719,192735.9531,180859.6406,185457.0156,176199,186040.6719,186977.5156,171475.6875,180870.0781,180976.0938,216767.9531,206155.7813,185156.5781,171042.3438,199198.9375,189891.3906,175170.625,181842.8906,188572.25,190491.8125,198047.9844,175201.7656
P08237,24087.61523,29014.22266,27234.89648,24908.44727,24638.39258,27680.02734,26517.14844,23430.36328,24683.50781,25099.82813,23388.26367,24507.50586,24677.35547,24330.64453,25967.13477,26227.63086,26470.29688,24966.24023,26208.09375,26131.04492,23743.92383,21627.43359,21854.02344,20266.4668,20362.05273,21562.63281,21978.09375,18336.45898,22952.64258,24155.07617,23249.32227
