,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_0h,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_1,SPQC_2,SPQC_3
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
P36507,23714.83789,23043.875,25195.85352,23612.84766,21427.44336,19987.25,20797.54688,27733.03906,26404.35938,29281.81641,25137.70703,24634.86523,21358.38477,22283.22656,31920.74219,30255.05273,29990.9668,28398.35352,26587.43945,22988.45703,23914.73438,23755.48242,22528.11133,22438.67578,19616.19336,20529.79297,19952.07813,18409.34961,23232.08789,24123.29492,24777.73242
P36543,6764.421875,8163.209473,8897.563477,9687.34375,7745.714355,7823.10498,8234.476563,7263.121094,7979.203125,7708.854492,7387.446777,7192.544434,7256.149902,7366.220703,10213.8252,9752.106445,9618.90332,11037.71973,11184.74707,9254.402344,9837.62207,8226.325195,7069.71875,8004.577637,8045.953125,7387.660156,8369.275391,7514.394043,9179.352539,9247.34668,7894.156738
P36871,2274.571533,2177.20166,2184.834961,2239.928223,2286.135742,2547.469238,2620.226074,3521.135498,4498.000977,4053.48999,3530.208984,4009.943848,3088.262451,3198.172607,2178.315186,1891.672485,2463.099121,1955.766602,2234.152344,1877.870972,1016.005615,1716.065063,2803.455566,2473.190674,3047.214355,2100.476318,1894.932007,1654.073242,2467.139648,3079.87085,1938.891724
P36915,7037.706055,5939.157715,7016.262695,6593.325195,5299.52832,6007.34668,5557.431152,5996.570801,3835.125488,5415.255859,6340.084473,5404.583008,5969.330566,4555.104004,5432.259277,5492.709473,5921.274414,6846.464844,6334.602051,5021.997559,4948.893066,5644.631348,5648.802246,5576.800781,4740.066895,4744.047852,5193.018066,5610.006348,5648.94043,5990.711426,3856.341553
P36955,67484.6875,68595.27344,61103.08594,65378.97656,68952.14063,63018.83984,70268.49219,59575.38281,63371.73438,60074.5625,62808.42969,58150.91016,60647.23047,64075.09375,69836.84375,70392.67969,65223.91406,68104.74219,68538.67969,78679.58594,75579.78125,53961.17188,54215.20313,60956.16016,58701.77734,55905.11719,55458.54297,68179.625,64141.72656,62643.31641,61947.16406
P36959,40739,35988.54688,42536.51563,44330.81641,48218.12109,40251.57422,38472.92188,121235.1563,108476.5,119556.8672,122213.4219,119674.1328,119345.0469,110474.4844,123375.1875,123160,121896.9297,119827.6875,113144.6719,113716.4922,101080.3984,103222.7734,108361.1016,100435.7422,103404.8203,102977.9375,99890.95313,95018.9375,95978.86719,92961.82031,93885.49219
P36969,5928.780273,5562.903809,8508.915039,8406.908203,5803.84082,4426.537109,7340.489258,7135.142578,12002.88672,11139.01465,10398.81641,7416.704102,8106.624023,6691.35791,8918.435547,10366.39551,10068.48145,8619.476563,5968.289063,9921.375977,7194.742676,9289.383789,4115.228027,6972.15625,7730.036133,3700.311279,6673.000488,6588.233398,6866.955566,6008.984863,10449.69434
P36980,4016.421387,225.9261017,4206.813477,4679.065918,5892.429199,5319.488281,5356.245605,5588.371582,NA,6255.726074,5316.611816,5460.878418,5030.722168,4879.577148,12850.83203,13011.81152,11522.76172,11739.89844,14054.88086,15123.46973,14636.34766,14161.67188,14358.91699,13396.39453,14992.68652,11437.73438,11655.96973,16144.38184,10511.86426,9313.040039,9359.033203
P37802,212388.25,247796.3281,236960.1563,232532.9375,228425.2031,230434.2344,218205.9688,244367.8438,250334.875,259350.9844,252991.1563,256494.5,231796.0625,245017.1719,193565.5469,222027.8125,225397.3125,210171.2031,194785.375,187795.3594,189764.2813,230751.2188,251426.5625,256079.125,241932.5938,252822.2656,236916.0938,261262.2031,248911.6719,235496.6563,242051.2656
P37837,227739.7188,230599.4375,229210.2969,232041.2188,226902.9063,227614.8906,233454.0469,259748.5156,249844.1094,259103.9844,247564.8906,251018,258572.1719,251228.3906,260017.875,259511.9063,260985.0313,265934.7188,258264.0781,253094.4844,253493.0313,269287.0313,263616.6875,265940.5,267370.0313,271516.7813,281215.0313,260781.0469,241060.4531,249265.5781,248722.3594
P37840,1264484,1166823.375,1418275.5,1449648.125,1435303.625,1525861,1425764.375,1257135.625,1077140.25,1258422.125,1219313.75,1300479,1254482.25,1299533.5,1353581.375,1425346.75,1444227.25,1416125.125,1416789.375,1277069,1330350.75,1610030,1634428.875,1575211.125,1608825.75,1656477.25,1654000.125,1580647.25,1365808.125,1406030.5,1410719.25
P38606,40130.77344,38543.64453,40953.10547,37909.50781,39033.47656,38689.12891,36961.35547,42739.75781,37796.44141,41212.04688,40393.98047,39498.66406,38329.47656,38796.61719,48267.63281,48671.20313,46205.62891,46669,46822.50781,45134.12109,42719.11328,39907.66406,39158.4375,40434.57031,40023.35156,39618.94531,39644.76172,36770.5625,40737.21094,41515.60547,39795.98047
P39687;Q92688,10419.10059,5950.54541,11756.80957,11771.52734,10655.73633,12786.47168,11371.47949,14681.84082,NA,15626.01758,12823.10742,12214.64063,13410.29199,14219.53027,11503.65137,12361.12695,11542.8584,13731.93359,10715.25,10293.54004,11709.03906,15735.04297,15434.56836,14476.32129,15439.58105,15589.18457,14126.02539,13965.38574,12295.29395,11552.47559,14233.94141
P40197,2109.099121,5297.379883,4559.041016,4085.993896,4083.071289,4679.04834,4081.410156,5219.775391,8725.092773,6829.10791,7997.036133,7900.687012,6642.703125,6755.163086,4448.873047,5372.161621,5517.549805,5086.459473,7864.225098,6070.916992,5691.288086,5251.533203,6717.826172,8295.476563,5089.149414,7363.71875,5769.505371,8914.430664,5786.287109,5124.791992,5655.075195
P40227,38850.19531,40297.28906,37163.79297,39055.11719,35947.73438,36803.58984,38250.94922,59383.05469,60643.79688,58662.92969,54833.07031,56382.26172,59297.25781,55942.79297,57112.10938,55939.69141,53836.6875,55023.79297,52308.60938,53006.42969,49936.07813,45579.78906,44029.61719,43433.64844,44368.67188,44473.30469,46320.98047,41586.85938,46651.94531,46472.49609,46545.72266
P40925,473929.6875,467672.0313,485066.9375,470098.5625,467063,480909.8125,477714.75,485677.7813,478885.5625,485536.375,471036.1563,485432.3125,493232.5625,478386,509019.875,519274.8125,510473,516444.9063,507513.9688,491419.2813,478772.9375,488705.7188,482424.5938,446555.75,455328.1875,466809.7813,484015.5313,466689,467491.3438,484756.75,460302.4063
P41091,5461.904297,5436.605469,6239.821777,6442.632324,7831.228516,6034.104004,6018.065918,5546.792969,2564.923096,7096.470215,5381.397949,4840.630371,4972.302246,5695.657715,6762.875,4774.583496,5510.861328,5919.166504,6561.40625,5523.050781,5395.10498,6331.304688,6165.681152,4674.660645,5860.482422,4763.855957,5362.900391,5075.927734,4923.567871,6509.951172,4866.805176
P41218,6269.810547,8814.125977,5737.962402,6467.916016,6362.935547,5968.799316,6694.188965,6763.635254,9812.166992,6214.547852,8704.425781,7867.246582,7513.117188,9381.754883,4865.652832,4776.322266,4243.040527,5224.082031,3976.843506,5194.573242,4890.838379,7727.003418,6505.763184,7327.787598,7053.322754,6429.53418,7333.982422,8228.870117,6224.188965,6638.951172,7144.959473
P41222,14953.18848,11494.375,14263.78125,15752.34277,13165.20215,13276.76953,15057.36816,17792.02539,16278.44531,16148.41211,16557.64258,18251.20313,17440.50391,15951.55371,14762.75,13735.82813,13775.28223,14389.70898,14079.40527,15581.32227,15583.26953,13926.86426,14440.20117,15425.72168,14394.89453,12723.22949,14916.52734,13751.3916,16341.08008,14435.92383,15428.77441
P42330,16555.05078,17583.95508,17290.50586,15786.43359,15687.6543,14533.58887,15225.55273,22234.53516,22092.88867,22428.5293,21145.10156,22385.92188,22110.9375,21096.55078,25892.00781,26055.44727,23773.29883,23771.4668,24202.25195,24173.20508,22778.75781,11924.3291,10606.57324,11812.38379,10978.98438,11362.49805,12199.56738,11465.98633,16507.87305,18493.16016,18573.32422
P43034,27709.12891,27579.81641,25513.23633,27941.42578,26649.55664,30395.14648,29865.44727,26416.44922,27457.04297,27990.36719,26850.66016,25507.4707,29722.60742,28459.00977,31536.03516,30745.97656,31655.83984,30602.17969,30509.99414,30559.94141,31287.18164,23998.25781,23229.47461,20905.1543,21021.45898,22946.67578,21505.70508,21410.37891,27120.26172,26133.71094,25507.3125
P43251,11563.58203,12340.31152,11036.74219,11920.37109,12123.01855,12141.44043,14370.98145,16444.16406,13929.61719,15402.95898,16700.18555,15631.10645,15893.3584,17854.5625,15465.0332,13822.59082,14807.19141,12285.49219,14222.58301,17971.30664,14334.95508,12575.68945,13664.43359,15835.64258,17763.61914,15028.34375,14253.74609,15954.64063,12478.87988,14301.08398,14444.72852
P43487,144049.6094,141562.4688,148744.7031,148365.9531,147565.6094,147305.6563,142117.8281,144856.5938,118342.5625,139861.3438,133988.3125,137073.9375,127410.4688,136433.4063,138277.3906,151712.6094,150825.7969,145660.9063,143676.5625,132746.3438,126828.0078,152038.6719,152149.6563,146253.5313,146978.375,140791.9844,143257.1563,146897.4063,133432.875,140744.5781,142091.2656
P43490,5378.257813,5308.293457,5241.618652,5304.46582,5795.831055,5597.401367,6632.005859,6009.415527,7193.154785,6195.188477,6712.21875,8357.262695,7149.342285,8698.172852,5776.04541,5455.529297,5293.946289,6232.248047,6322.314453,6373.648438,6648.069336,6195.251953,5800.336426,6001.951172,8116.03125,7480.144043,7247.432617,9966.928711,7376.405273,6187.439453,6727.796875
P43652,319089.4375,287554.9063,293377.0938,311914.9688,322785.7813,312001.4063,318877.6563,335123.9063,289839.9063,316373.8438,339711.0313,329466.3125,328552.4063,333568.5938,263109.1875,260557.9375,259948.25,261433.125,281699.875,286070.9063,291193.4375,330042.4375,337340.2813,342053.0625,346704.2813,332583.7813,329958.9375,389540.4063,306735.5,308182.75,309834.5
P43686,10955.1709,11341.4834,11485.35156,9916.011719,10088.47168,9528.685547,9423.667969,9526.625977,10229.09375,9941.149414,7487.897461,8222.890625,7838.262207,7468.024902,10717.88379,10307.92676,10296.19238,9108.44043,8448.538086,9292.803711,8453.364258,11797.19238,12040.15137,9866.958008,9732.383789,10087.01855,9673.263672,9151.635742,10552.24609,9662.675781,10692.37891
P45974,105896.9844,106496.6797,107964.3516,105331.7031,104980.8906,103950.4375,101974.0703,110517.1016,112642.9844,113788,108377.0313,109375.0156,109949.6484,103553.7031,120131.5938,119961.5391,121503.375,123227.5703,120177.7734,111353.4688,112223.5547,119603.8516,117813.6016,113951.6875,114704.8516,117258.1875,114855.1406,108848.6563,109892.4297,113224.7656,110862.1094
P46060,12531.92383,11152.24609,12088.68848,11701.41113,11735.78125,11002.02344,10864.95703,12792.97363,13392.74902,12472.67773,13023.1875,12943.8125,13312.80566,12014,14435.34277,13726.76953,13451.31543,13395.14453,13652.35742,13346.63867,12418.57422,9487.057617,9976.256836,9356.579102,9620.055664,9563.010742,10612.84473,10227.56445,12456.07031,11769.33105,12324.0752
P46108,9574.609375,10832.55566,9505.006836,9892.782227,8026.78418,10186.44824,10897.8916,10956.07129,9939.954102,9018.725586,10189.43555,11409.97656,11315.1377,11015.46973,10267.74512,11482.88379,11057.71777,11599.50098,10893.28418,10809.74707,10112.45801,10669.10645,9111.323242,9230.821289,10720.82227,10429.3291,10887.83398,10241.96094,9988.509766,10503.75195,11131.76465
P46109,13686.97754,15180.60938,15128.57422,13891.74609,15513.09668,14830.46484,13860.95117,13705.45898,15074.01367,15640.60547,13852.03125,14870.75293,14999.31152,14947.68945,16607.03516,15401.95996,16903.47852,16530.58789,16566.61523,17133.47656,17579.0293,13982.57129,16421.53711,15123.49414,14876.55762,18219.92188,16054.00293,15254.8457,14608.49512,15308.63184,15489.68164
P46459,34112.34766,32963.3125,34620.52344,31882.34961,31261.44531,30586.99805,30460.38477,31816.46094,33151.14453,31066.37109,29904.80664,29780.05273,27659.80859,29381.3125,35786.02344,34786.33984,36050.55469,33966.01953,32169.71484,30562.21875,30838.96484,38654.91406,36420.42578,36160.75781,34941.37891,36563.13281,35103.09375,33227.03125,33452.07813,34280.51563,33471.57813
P46734,15544.86719,19706.02344,13342.86426,11362.48242,10333.99219,7828.446289,11170.52539,13570.06641,12506.89355,11669.3125,10010.1582,11760.34863,11600.12207,11343.31836,14265.79199,11093.04785,14562.52734,12978.30273,11514.50293,8478.605469,11089.54785,13126.68555,12916.53027,12278.82617,9851.178711,8974.314453,9843.469727,8673.787109,13151.6543,15335.66211,13397.57617
P46926,12378.99902,14119.09766,12633.43652,11369.18457,11490.47754,11178.95215,11938.55762,12308.87988,13724.56055,13155.21582,12348.86719,12968.64844,12479.22168,12655.67188,21492.5918,20939.55078,20640.00195,19491.47852,18048.9043,18688.05078,17583.36523,13002.20801,13000.88672,13413.54492,13199.72461,13049.28027,14059.19727,11936.48438,13422.5459,14197.94727,14247.03223
P47755,7496.943848,9046.104492,7903.601563,8266.02832,7313.01416,8574.536133,8337.891602,10472.07324,11376.69043,11829.72168,11218.65039,10649.5791,10916.75586,10581.43555,8005.155762,9096.955078,10369.98535,9662.042969,8622.854492,9903.092773,8183.430176,10587.53125,10589.35449,10597.91504,10054.58301,10007.4668,10433.51074,8898.938477,9753.453125,9670.8125,10610.01465
P47756,46422.0625,53839.86328,56799.6875,54184.48828,52673.20313,51305.59375,52289.33984,58969.34375,62224.89453,60063.87109,58231.91016,60880.73438,60187.60156,54243.00781,48009.85938,47765.78516,48349.46875,50093.10938,47469.70703,43235.90234,46118.14453,58811.72656,62430.08594,58367.21484,57705.64063,61174.66016,60615.76563,58273.88281,53298.71484,55268.40234,50489.25
P48059,38984.53125,NA,41746.5625,38179.09375,30570.38281,23073.66211,21355.48828,34684.33984,39149.25,49786.125,31708.17969,43775.79688,49382.67578,22945.68945,24240.69922,38168.01172,35225.95313,39337.74219,32940.04688,28661.86719,22751.04492,44072.44922,47656.44531,44790.01953,43468.18359,36057.97656,26949.625,34741.19922,30367.37305,48031.74219,30529.60547
P48147,7264.204102,8558.496094,7288.326172,7810.164063,6561.949707,6623.486816,6339.924316,5768.264648,8597.063477,7661.410645,7378.80127,7281.311035,6902.109863,5541.185059,8969.359375,8263.774414,8688.792969,8622.892578,6690.197754,7975.328125,6751.691406,6174.780762,6209.94043,5577.288086,7060.112793,5332.72168,6259.134277,6802.379395,7259.906738,7875.280273,6246.297363
P48426,62994.53125,65096.73047,60549.47266,60739.37891,61757.48828,62596.95703,65925.47656,71194.40625,77254.10938,74337.65625,70087.72656,68960.82031,71315.09375,71358.61719,78588.5625,80849.25,79013,80511.09375,77938.58594,78224.61719,74283.125,69690.21094,70615.76563,68338.29688,70499.54688,66974.84375,70520.41406,67470.5625,66811.25781,70855.21094,66235.03906
P48506,130814.2734,132929.0313,130475.4844,134222.875,132457.1719,133336.7344,134501.4219,150450.9844,148119.6406,149823.0469,146841.4531,147540.1406,150339.2969,147437.9219,158492.9375,157088.2969,158261.1094,162286.2656,156352.4375,152606.875,149620.9531,159477.1719,153212.5625,147060.4844,149941.6094,155913.7813,158270.5313,144534.9063,146271.1406,145958.0938,141552.9063
P48507,17479606,18104080,17303812,16333188,15475922,16205815,16469797,14246496,15795314,13813810,14262799,13991469,13825433,13758285,17940220,17146418,17490586,17019726,17018260,16017074,16156022,15430474,14654492,14151205,15042303,14807899,14815714,13128274,16287932,15505697,14357649
P48556,23564.50977,24107.36523,22958.83984,22895.91992,21643.89648,20856.58398,21222.25,20442.20898,20082.32813,19009.70703,19280.29492,18492.66406,19917.55664,18689.96484,22172.9375,20688.87305,21335.71094,22779.49023,20413.6543,21077.29688,19017.625,23603.70313,22094.98438,23297.0293,21005.53711,21524.07813,22627.30664,20463.64844,20881.37695,22701.76367,21132.70313
P48637,61836.8125,60416.79688,61695.50781,60900.55078,63408.69141,60988.62109,61256.57422,66919.88281,67672.98438,66901.82031,62746.76563,68003.01563,67760.95313,63168.83984,69991.26563,70430.61719,70544.25781,71162.97656,69364.5,65967.59375,66372.85938,66154.75781,64376.95703,64231.58984,65386.71875,64807.02734,67370.79688,62721.73828,63144.23438,65368.01563,62372.74219
P48643,46488.85156,46900.09766,47621.67578,47729.17578,45180.95703,44117.93359,45166.75781,74248.49219,71865.82031,73570.28906,73423.48438,72408.83594,74493.8125,69380.13281,70871.79688,70709.14844,69480.03125,69860,70106.67188,65187.85547,64829.03125,60419.87891,56217.38672,56937.85938,57486.70703,56235.21875,57482.08594,50854.24219,59199.58984,58632.55469,58853.33594
P48729,4343.97998,10872.00488,10923.58398,6450.225098,8058.317383,6253.660156,5984.564941,2753.82251,12209.00684,3308.572021,10460.08594,5481.780762,3642.341064,5570.989746,5195.351563,5522.857422,5639.602051,4545.321289,11273.4707,10431.82813,10044.6875,8181.209473,4756.127441,8501.673828,1939.204346,4996.643555,7744.757324,8876.71875,5056.921387,10728.59961,5176.501465
P48735,2466.85083,5521.741211,3755.860107,4266.775391,3460.386719,NA,3121.188721,3890.17041,6125.039063,6626.946289,3129.152344,6664.803223,5818.883301,5406.447754,1241.663574,3903.038574,3564.413818,3058.811035,2775.815186,2962.406006,3845.642578,3574.043701,7395.213379,7820.678711,6084.885254,7460.523438,3982.621094,4220.558105,4500.662109,5400.907227,5557.891602
P48739,22488.19336,23589.18945,25289.21484,22847.1543,24592.56055,21285.01172,25120.8457,25078.69141,30855.5332,25594.125,26358.04883,27494.36914,29011.23828,27643.2168,24114.31836,26371.12109,24855.31641,24905.08594,25826.7207,25188.02734,23833.18359,23635.45898,24342.96875,24637.92773,21346.64063,24597.53711,23463.2832,21218.62695,21785.40039,24155.4707,24524.48828
P48740,6780.952637,5230.570313,7244.036133,6903.037598,8019.710449,8117.205566,8017.671387,10578.50586,4594.23584,8111.592285,9424.366211,9403.429688,8900.817383,8842.634766,6950.41748,7719.092285,6723.389648,5296.26123,7724.020996,8097.671387,7341.450195,6188.993652,5621.953125,5696.767578,7096.252441,5654.023926,6453.411621,6271.778809,7584.29834,6420.508301,7340.426758
P49189,33082.24609,28333.99805,35300.42188,35685.21094,33047.57031,32593.6582,30871.03516,45273.73438,36711.57031,42830.53516,40059.96484,39654.19141,41262.61328,40237.66406,44786.04688,46345.66016,44024.55469,44215.80859,40096.10156,41117.74219,42113.57813,49362.73438,48923.65625,49478.98438,48214.86328,48411.17188,46728.64063,42575.23047,40038.71484,42476.36328,40909.94922
P49247,109939.2578,130430.4297,104587.2969,104597.1406,109157.4453,107914.3516,105885.1328,132704.7656,174856.9375,132038.1719,131474.3281,137804.5,140076.7969,137681.625,123892.2031,126004.9453,128441.6172,132029.9688,131022.3984,126917.5859,128813.5859,119264.8828,112539.2969,108868.1953,115323.0078,122886.875,124602.6953,129278.875,120958.8359,120314.2656,118846.8438
P49327,7473.800781,7345.798828,7613.405762,8200.930664,7846.935547,7408.730469,7385.299316,6811.001953,7150.563965,6336.605469,6903.438477,6731.495605,6563.502441,7136.886719,8038.241211,7447.783691,8268.236328,7640.978516,7293.908691,7468.984863,8151.226563,7122.448242,7725.913574,6878.787109,7347.788086,7730.025879,6857.155273,6824.166992,7090.750488,7591.645996,7180.76709
P49368,73507.57031,70029.67969,78087.74219,73171.46094,75035.69531,71552.39063,72780.09375,113447.0078,96123.9375,115022.3438,109245.6406,110028.9453,109697.8906,104984.5313,105891.4063,107409.6016,105286.0078,108211.5,105557.9766,99596.875,101624.25,89330.875,91227.24219,87772.71094,86053.39844,86090.32813,84445.40625,78842.03906,91832.57813,89585.92188,89933.03906
P49407,2729.853516,519.8186035,NA,NA,NA,NA,NA,2464.886475,2129.206543,2094.256104,1877.576904,2616.26416,1580.01355,3278.391357,1315.08374,1600.215454,2113.657227,2028.800171,1207.640381,1622.817261,NA,1504.656372,2476.705078,1907.663208,1353.833374,940.7122803,1832.797363,2009.046265,3576.582031,1984.411255,2918.291016
P49588,2567.857178,2697.542969,2624.1875,2147.989502,2215.73584,1733.144653,1915.275635,1650.639893,1790.597412,1745.546753,1566.219727,1554.012817,1677.734253,1168.993164,2420.760742,2817.73877,3001.609375,2943.522705,3096.146973,2294.810303,2383.335205,3000.705811,2830.500488,2872.485352,2650.303955,2292.010986,2264.844727,2050.001953,2357.798828,2254.479004,2663.597168
P49589,3789.264893,4747.048828,5043.710449,4662.307129,4955.520996,6826.199707,5502.149414,5944.526855,5727.512207,4998.779297,6450.624023,6287.831543,6797.827148,7170.994141,6092.572754,5607.500977,6999.55127,6690.10498,6170.171387,5940.07959,7005.008789,7271.095215,8004.959473,6948.467773,7883.550293,7928.950684,9075.013672,7519.40332,4485.133301,7508.366699,7445.370117
P49591,1312.348267,NA,1721.675903,1711.141724,1589.41333,855.8313599,1070.703857,2078.101807,NA,1990.733398,1690.579346,1436.181396,1281.889282,1256.154907,1904.948242,1814.461304,2085.526123,1301.698853,1340.306763,563.1809082,NA,1556.154175,1783.837158,1179.583252,924.088501,1231.018433,619.0710449,1010.577576,1306.30542,1809.005371,1594.968628
P49720,63605.08594,63720.31641,61586.24609,60858.85938,63542.51563,59337.27344,59854.60156,55632.03125,60563.98047,60657.57422,57491.10156,58121.72266,55966.53516,52772.89844,71393.15625,71511.19531,72012.80469,69879.65625,67875.92969,65087.55859,64224.46875,63444.23828,64147.91406,62534.47266,63738.19922,64001.28516,62812.8125,65232.75391,62641.84766,62113.57422,61903.35938
P49721,106646.5469,106014.6406,112452.6719,112638.5313,105258.8594,102803.2969,109412.9297,107065.25,108980.9922,109577.6641,107350.5547,106316.1953,106017.1172,98453.23438,123898.2734,123261.4922,132629.2031,125807.125,116330.8047,113594.8359,117819.4297,111186.3594,109503.3125,108365.2031,110925.3047,112051.2266,114126.9609,102132.5,114858.1016,111119.1875,111700.1094
P49747,2462.258301,444.0349731,3679.800781,3304.338135,3294.661377,2947.091309,3462.78125,3891.989746,156.7352753,3262.82666,3622.492432,3221.157959,3335.532959,2947.125732,7005.466797,5965.54834,6553.845215,4709.259277,6217.14502,5957.529785,6314.523438,3925.922852,4356.736328,3824.073975,3503.321289,3206.108154,3482.819092,5305.298828,4397.164551,2990.443604,3156.941406
P49773,81143.82031,76526.97656,85373.4375,83615.4375,85297.53125,85953.80469,83305.66406,67343.26563,58410.66406,64503.58984,64591.60547,66560.67969,66887.78125,64752.87109,82400.99219,83016.08594,83777.65625,85121.36719,84211.79688,80637.64063,85406.73438,80754.07031,78251.08594,74556.23438,78415.21875,77304.27344,78802.74219,75355.25781,75492.85938,76855.14844,75296.25781
P49908,38410.99219,31102.26953,37623.83984,35817.38672,41202.10547,35977.89063,39620.59766,34464.32813,23178.89258,32935.61328,34141.96484,34077.76563,29664.38281,34445.80859,33766.64844,35131.63672,35561.69531,33141.33984,35839.58203,41086.65625,40337.78906,34609.5625,33243.39063,33457.20703,32991.30859,31075.28711,31816.41211,38335.14453,34113.20313,34832.76563,34840.79297
P49913,8291.599609,4225.626953,8084.31543,8606.419922,7972.393066,8185.282715,8407.076172,11708.42871,10905.14551,10307.22461,12994.3877,11844.83496,11648.96973,12372.00098,7023.617676,8255.992188,6695.587891,8740.483398,8103.12207,8631.628906,8540.248047,8461.160156,8578.938477,7798.993652,8792.260742,8219.359375,7980.606934,8090.820801,8716.942383,9264.607422,9548.317383
P50395,256020.5781,255216.2969,260627.0156,259071.4375,259753.1094,271703.1875,264867.6563,270168.4688,261517.9844,262589.4375,255894.3281,264137.9063,263789.9375,260732.9063,261429.6406,268708.625,264737.5625,264987.4375,255415.4844,254141.5313,253087.5,266534.9375,265928.4063,257823.5625,265161.625,263097.0313,273870.7813,257325.8438,250402.6094,258212.1719,257928.1094
P50453,6804,8009.119141,6759.041504,NA,6559.442383,9026.624023,8348.703125,8352.53125,7678.185059,10058.68652,9091.366211,9433.478516,11145.62012,7497.959473,14019.78613,15707.37402,13595.17773,14312.21777,13387.82813,15917.25293,17478.43945,9851.265625,10269.16309,11202.86719,10573.10059,11148.14648,11497.87598,11829.99805,11282.70801,9705.352539,10426.96289
P50502,143072.2188,140888.6406,147172.6094,142840.1563,145582,143959.8438,138907.6719,166667.5313,160683.9844,162771.9375,159898.625,168728.9219,159361.875,157848.0156,169749.8125,171787.9375,165395.8125,171481.4375,166745.5,165664.1875,165394.6094,179410.3438,176220.4375,176028.2813,177092.8594,175964.3281,171385.8594,164463.5469,161590.625,158106.3281,156110.1719
P50552,2401.481689,4291.42334,4555.378418,4424.734863,4281.088379,4178.347168,4054.009277,4949.419922,5717.01123,7108.380859,7102.884766,8314.089844,5365.732422,5821.513672,3524.903809,5030.194336,4635.473145,4211.656738,3852.69751,4821.84375,4113.605957,5902.053223,8347.785156,9324.995117,6379.859375,7075.512695,4586.067871,7031.421387,5250.268555,5288.951172,5314.582031
P50570,16907.87891,18054.26953,16420.46875,15542.24512,16500.36133,16132.25,16231.74805,17507.17188,18760.16406,17040.8125,16560.76172,17315.85547,15356.30273,15854.56152,17338.25586,17264.39063,17427.07617,18223.63281,16614.93164,17779.68164,16063.84961,14894.53809,14959.99121,15158.33887,13867.87012,14222.07129,13758.49707,13312.62891,15376.58301,16199.8877,16356.68164
P50579,6697.522461,6336.574219,6309.791504,6269.996094,6022.698242,6380.066895,6401.123047,4787.678711,5004.607422,5548.621582,4368.118164,4974.576172,5363.914551,5768.706543,6240.548828,6312.316406,6362.28418,6553.316406,6105.992676,5945.90918,6064.286133,8786.168945,9346.72168,8053.106445,8714.545898,8883.556641,8559.969727,7456.70459,5904.631348,6307.04541,6116.70166
P50851,6066.257324,6074.202637,5497.585938,5660.473633,5953.316406,5291.779785,5899.250488,NA,NA,2062.687012,1403.57605,NA,NA,NA,NA,NA,NA,1557.249878,NA,1573.140625,NA,1890.609985,1437.458496,1768.218994,NA,1490.991089,NA,2247.936035,2592.333008,2740.296387,3124.5271
P50895,9883.132813,10207.78613,11188.82324,11100.17285,11046.74316,10559.19434,10264.83789,5689.146484,5170.152832,6382.284668,5628.272949,6074.285645,5920.614746,5605.530273,8706.612305,7818.396484,8457.05957,7740.116699,7598.815918,8321.493164,7305.387695,7517.583008,7107.341309,6815.755371,7630.501465,8006.353027,8135.196289,7928.247559,7628.581055,7739.793945,8125.943359
P50990,111690.3359,123300.5469,113887.5547,111561.2266,108375.1094,112219.6406,115554.6953,175477.6719,173303.75,175803.9375,163255.6719,168572.5313,172902.2188,165354.25,168481.625,163382.75,160789.7188,163447.2031,161393.2969,154302.7344,152688.125,137299.875,133975.0625,132857.6094,130309.2969,136665.7969,136844.9844,112226.7031,141220.4375,140192.5781,143128.8281
P50991,67603.02344,70494.29688,69221.21094,67588.73438,66190.16406,68837.16406,69112.4375,104609.2813,98498.21094,103816.8516,102017.8125,101901.3359,106058.7031,100542.1641,99490.71094,98288.46875,101273.1875,97036.78125,93871.97656,94837.49219,93479.95313,82906.03906,79187.92969,81608.96875,79673.20313,80651.17969,81963.48438,74037.5625,86951.83594,84962.03906,86961.96094
